harm_cluster,feature,n,rate,feature_mean,deviation_from_mean,rate_pct,feature_mean_pct,deviation_pct_points
Sexual and violent harms,explicit_nc,1118,0.9588550983899821,0.9024786672084518,0.05637643118153024,95.9%,90.2%,5.6%
Sexual and violent harms,implicit_nc,1118,0.04114490161001789,0.09752133279154815,-0.05637643118153026,4.1%,9.8%,-5.6%
Sexual and violent harms,apology,1118,0.24329159212880144,0.2165786265745632,0.026712965554238244,24.3%,21.7%,2.7%
Sexual and violent harms,hedge,1118,0,0,0,0.0%,0.0%,0.0%
Sexual and violent harms,explanatory_preface,1118,0.018783542039355994,0.0321007720438846,-0.013317230004528603,1.9%,3.2%,-1.3%
Sexual and violent harms,positive_alignment,1118,0.023255813953488372,0.035757822023567656,-0.012502008070079285,2.3%,3.6%,-1.3%
Sexual and violent harms,solidarity,1118,0.1440071556350626,0.14221861032100772,0.0017885453140548957,14.4%,14.2%,0.2%
Sexual and violent harms,negative_stance,1118,0.6198568872987478,0.6237301909792767,-0.003873303680528961,62.0%,62.4%,-0.4%
Sexual and violent harms,normative_suggestion,1118,0.2808586762075134,0.35798455912230803,-0.07712588291479461,28.1%,35.8%,-7.7%
Sexual and violent harms,statement_of_principle,1118,0.061717352415026835,0.05404307192198293,0.007674280493043903,6.2%,5.4%,0.8%
Sexual and violent harms,alternative_offer,1118,0.5733452593917711,0.5461194636326696,0.027225795759101445,57.3%,54.6%,2.7%
Sexual and violent harms,executed_alternative,1118,0.26744186046511625,0.391304347826087,-0.12386248736097072,26.7%,39.1%,-12.4%
Sexual and violent harms,role_based,1118,0.0742397137745975,0.059731816334823246,0.01450789743977425,7.4%,6.0%,1.5%
Non-violent misuse,explicit_nc,932,0.878755364806867,0.9024786672084518,-0.023723302401584823,87.9%,90.2%,-2.4%
Non-violent misuse,implicit_nc,932,0.12124463519313304,0.09752133279154815,0.023723302401584892,12.1%,9.8%,2.4%
Non-violent misuse,apology,932,0.16738197424892703,0.2165786265745632,-0.049196652325636164,16.7%,21.7%,-4.9%
Non-violent misuse,hedge,932,0,0,0,0.0%,0.0%,0.0%
Non-violent misuse,explanatory_preface,932,0.0407725321888412,0.0321007720438846,0.008671760144956603,4.1%,3.2%,0.9%
Non-violent misuse,positive_alignment,932,0.030042918454935622,0.035757822023567656,-0.005714903568632034,3.0%,3.6%,-0.6%
Non-violent misuse,solidarity,932,0.034334763948497854,0.14221861032100772,-0.10788384637250986,3.4%,14.2%,-10.8%
Non-violent misuse,negative_stance,932,0.6931330472103004,0.6237301909792767,0.06940285623102371,69.3%,62.4%,6.9%
Non-violent misuse,normative_suggestion,932,0.4592274678111588,0.35798455912230803,0.10124290868885077,45.9%,35.8%,10.1%
Non-violent misuse,statement_of_principle,932,0.06545064377682404,0.05404307192198293,0.011407571854841106,6.5%,5.4%,1.1%
Non-violent misuse,alternative_offer,932,0.5515021459227468,0.5461194636326696,0.005382682290077212,55.2%,54.6%,0.5%
Non-violent misuse,executed_alternative,932,0.43240343347639487,0.391304347826087,0.0410990856503079,43.2%,39.1%,4.1%
Non-violent misuse,role_based,932,0.06223175965665236,0.059731816334823246,0.0024999433218291164,6.2%,6.0%,0.2%
Intellectual property,explicit_nc,133,0.7368421052631579,0.9024786672084518,-0.16563656194529397,73.7%,90.2%,-16.6%
Intellectual property,implicit_nc,133,0.2631578947368421,0.09752133279154815,0.16563656194529394,26.3%,9.8%,16.6%
Intellectual property,apology,133,0.18045112781954886,0.2165786265745632,-0.03612749875501434,18.0%,21.7%,-3.6%
Intellectual property,hedge,133,0,0,0,0.0%,0.0%,0.0%
Intellectual property,explanatory_preface,133,0.007518796992481203,0.0321007720438846,-0.024581975051403394,0.8%,3.2%,-2.5%
Intellectual property,positive_alignment,133,0.12781954887218044,0.035757822023567656,0.09206172684861279,12.8%,3.6%,9.2%
Intellectual property,solidarity,133,0,0.14221861032100772,-0.14221861032100772,0.0%,14.2%,-14.2%
Intellectual property,negative_stance,133,0.47368421052631576,0.6237301909792767,-0.15004598045296097,47.4%,62.4%,-15.0%
Intellectual property,normative_suggestion,133,0.38345864661654133,0.35798455912230803,0.0254740874942333,38.3%,35.8%,2.5%
Intellectual property,statement_of_principle,133,0.015037593984962405,0.05404307192198293,-0.03900547793702053,1.5%,5.4%,-3.9%
Intellectual property,alternative_offer,133,0.5488721804511278,0.5461194636326696,0.002752716818458234,54.9%,54.6%,0.3%
Intellectual property,executed_alternative,133,0.6240601503759399,0.391304347826087,0.2327558025498529,62.4%,39.1%,23.3%
Intellectual property,role_based,133,0.007518796992481203,0.059731816334823246,-0.05221301934234204,0.8%,6.0%,-5.2%
Specialized advice,explicit_nc,75,0.8666666666666667,0.9024786672084518,-0.03581200054178513,86.7%,90.2%,-3.6%
Specialized advice,implicit_nc,75,0.13333333333333333,0.09752133279154815,0.03581200054178518,13.3%,9.8%,3.6%
Specialized advice,apology,75,0.10666666666666667,0.2165786265745632,-0.10991195990789653,10.7%,21.7%,-11.0%
Specialized advice,hedge,75,0,0,0,0.0%,0.0%,0.0%
Specialized advice,explanatory_preface,75,0.05333333333333334,0.0321007720438846,0.02123256128944874,5.3%,3.2%,2.1%
Specialized advice,positive_alignment,75,0.17333333333333334,0.035757822023567656,0.1375755113097657,17.3%,3.6%,13.8%
Specialized advice,solidarity,75,0.18666666666666668,0.14221861032100772,0.04444805634565896,18.7%,14.2%,4.4%
Specialized advice,negative_stance,75,0.6933333333333334,0.6237301909792767,0.06960314235405662,69.3%,62.4%,7.0%
Specialized advice,normative_suggestion,75,0.64,0.35798455912230803,0.282015440877692,64.0%,35.8%,28.2%
Specialized advice,statement_of_principle,75,0.013333333333333334,0.05404307192198293,-0.0407097385886496,1.3%,5.4%,-4.1%
Specialized advice,alternative_offer,75,0.5333333333333333,0.5461194636326696,-0.012786130299336285,53.3%,54.6%,-1.3%
Specialized advice,executed_alternative,75,0.6666666666666666,0.391304347826087,0.27536231884057966,66.7%,39.1%,27.5%
Specialized advice,role_based,75,0.013333333333333334,0.059731816334823246,-0.04639848300148991,1.3%,6.0%,-4.6%
Suicide & self-harm,explicit_nc,203,0.8226600985221675,0.9024786672084518,-0.07981856868628434,82.3%,90.2%,-8.0%
Suicide & self-harm,implicit_nc,203,0.17733990147783252,0.09752133279154815,0.07981856868628437,17.7%,9.8%,8.0%
Suicide & self-harm,apology,203,0.35960591133004927,0.2165786265745632,0.14302728475548607,36.0%,21.7%,14.3%
Suicide & self-harm,hedge,203,0,0,0,0.0%,0.0%,0.0%
Suicide & self-harm,explanatory_preface,203,0.07389162561576355,0.0321007720438846,0.04179085357187896,7.4%,3.2%,4.2%
Suicide & self-harm,positive_alignment,203,0.019704433497536946,0.035757822023567656,-0.01605338852603071,2.0%,3.6%,-1.6%
Suicide & self-harm,solidarity,203,0.7044334975369458,0.14221861032100772,0.5622148872159382,70.4%,14.2%,56.2%
Suicide & self-harm,negative_stance,203,0.39901477832512317,0.6237301909792767,-0.22471541265415357,39.9%,62.4%,-22.5%
Suicide & self-harm,normative_suggestion,203,0.19704433497536947,0.35798455912230803,-0.16094022414693857,19.7%,35.8%,-16.1%
Suicide & self-harm,statement_of_principle,203,0,0.05404307192198293,-0.05404307192198293,0.0%,5.4%,-5.4%
Suicide & self-harm,alternative_offer,203,0.37438423645320196,0.5461194636326696,-0.17173522717946765,37.4%,54.6%,-17.2%
Suicide & self-harm,executed_alternative,203,0.6305418719211823,0.391304347826087,0.2392375240950953,63.1%,39.1%,23.9%
Suicide & self-harm,role_based,203,0.019704433497536946,0.059731816334823246,-0.040027382837286296,2.0%,6.0%,-4.0%
