harm_type,n_nc,explicit_nc,implicit_nc,apology,hedge,explanatory_preface,positive_alignment,solidarity,negative_stance,normative_suggestion,statement_of_principle,alternative_offer,executed_alternative,role_based
Child Sexual Exploitation,293,0.9488054607508533,0.051194539249146756,0.2354948805460751,0,0.006825938566552901,0.010238907849829351,0.16723549488054607,0.6621160409556314,0.20136518771331058,0.05460750853242321,0.552901023890785,0.310580204778157,0.08532423208191127
Code Interpreter Abuse,129,0.9534883720930233,0.046511627906976744,0.20930232558139536,0,0.08527131782945736,0.08527131782945736,0,0.751937984496124,0.627906976744186,0.046511627906976744,0.5736434108527132,0.4806201550387597,0.05426356589147287
Defamation,134,0.8582089552238806,0.1417910447761194,0.13432835820895522,0,0.014925373134328358,0,0,0.7835820895522388,0.417910447761194,0.05223880597014925,0.6119402985074627,0.34328358208955223,0.05970149253731343
Elections,116,0.9482758620689655,0.05172413793103448,0.1724137931034483,0,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.6724137931034483,0.5258620689655172,0.0603448275862069,0.5603448275862069,0.3706896551724138,0.04310344827586207
Hate,288,0.7951388888888888,0.2048611111111111,0.15625,0,0.04513888888888889,0.017361111111111112,0.0763888888888889,0.6701388888888888,0.3611111111111111,0.1076388888888889,0.5138888888888888,0.4027777777777778,0.10416666666666667
Indiscriminate Weapons,94,0.925531914893617,0.07446808510638298,0.22340425531914893,0,0.0425531914893617,0.0425531914893617,0.13829787234042554,0.6382978723404256,0.24468085106382978,0.06382978723404255,0.43617021276595747,0.4148936170212766,0.06382978723404255
Intellectual Property,133,0.7368421052631579,0.2631578947368421,0.18045112781954886,0,0.007518796992481203,0.12781954887218044,0,0.47368421052631576,0.38345864661654133,0.015037593984962405,0.5488721804511278,0.6240601503759399,0.007518796992481203
Non-Violent Crimes,128,0.8984375,0.1015625,0.1953125,0,0.0546875,0.0546875,0.0703125,0.7421875,0.484375,0.0390625,0.484375,0.453125,0.03125
Privacy,137,0.927007299270073,0.072992700729927,0.15328467153284672,0,0.021897810218978103,0.021897810218978103,0,0.5693430656934306,0.46715328467153283,0.0364963503649635,0.6058394160583942,0.5693430656934306,0.029197080291970802
Sex-Related Crimes,259,0.9806949806949807,0.019305019305019305,0.2625482625482625,0,0.011583011583011582,0.023166023166023165,0.2277992277992278,0.6795366795366795,0.3667953667953668,0.06177606177606178,0.5173745173745173,0.29343629343629346,0.06177606177606178
Sexual Content,282,0.9609929078014184,0.03900709219858156,0.25886524822695034,0,0.01773049645390071,0.03546099290780142,0.06382978723404255,0.450354609929078,0.26595744680851063,0.05319148936170213,0.6524822695035462,0.18085106382978725,0.07092198581560284
Specialized Advice,75,0.8666666666666667,0.13333333333333333,0.10666666666666667,0,0.05333333333333334,0.17333333333333334,0.18666666666666668,0.6933333333333334,0.64,0.013333333333333334,0.5333333333333333,0.6666666666666666,0.013333333333333334
Suicide & Self-Harm,203,0.8226600985221675,0.17733990147783252,0.35960591133004927,0,0.07389162561576355,0.019704433497536946,0.7044334975369458,0.39901477832512317,0.19704433497536947,0,0.37438423645320196,0.6305418719211823,0.019704433497536946
Violent Crimes,190,0.9578947368421052,0.042105263157894736,0.21578947368421053,0,0.03684210526315789,0.015789473684210527,0.11578947368421053,0.7157894736842105,0.3263157894736842,0.08421052631578947,0.631578947368421,0.22105263157894736,0.08421052631578947
