harm_type,n_nc,explicit_nc,implicit_nc,apology,hedge,explanatory_preface,positive_alignment,solidarity,negative_stance,normative_suggestion,statement_of_principle,alternative_offer,executed_alternative,role_based
Child Sexual Exploitation,340,0.95,0.05,0.25882352941176473,0,0.0058823529411764705,0.008823529411764706,0.14705882352941177,0.6264705882352941,0.18823529411764706,0.052941176470588235,0.5676470588235294,0.2911764705882353,0.07647058823529412
Code Interpreter Abuse,153,0.954248366013072,0.0457516339869281,0.23529411764705882,0,0.0718954248366013,0.0784313725490196,0,0.6993464052287581,0.5620915032679739,0.05228758169934641,0.5294117647058824,0.4444444444444444,0.05228758169934641
Defamation,151,0.8543046357615894,0.1456953642384106,0.16556291390728478,0,0.013245033112582781,0,0,0.7218543046357616,0.37748344370860926,0.052980132450331126,0.5960264900662252,0.33112582781456956,0.052980132450331126
Elections,129,0.9302325581395349,0.06976744186046512,0.20155038759689922,0,0.015503875968992248,0.031007751937984496,0.007751937984496124,0.6356589147286822,0.4883720930232558,0.05426356589147287,0.5348837209302325,0.35658914728682173,0.03875968992248062
Hate,343,0.7346938775510204,0.2653061224489796,0.15160349854227406,0,0.04081632653061224,0.01749271137026239,0.06705539358600583,0.6384839650145773,0.37026239067055394,0.1282798833819242,0.4868804664723032,0.3877551020408163,0.1457725947521866
Indiscriminate Weapons,112,0.9285714285714286,0.07142857142857142,0.25,0,0.03571428571428571,0.03571428571428571,0.11607142857142858,0.5892857142857143,0.24107142857142858,0.0625,0.44642857142857145,0.375,0.05357142857142857
Intellectual Property,155,0.7419354838709677,0.25806451612903225,0.21935483870967742,0,0.0064516129032258064,0.10967741935483871,0,0.44516129032258067,0.36129032258064514,0.01935483870967742,0.535483870967742,0.5870967741935483,0.0064516129032258064
Non-Violent Crimes,145,0.9103448275862069,0.0896551724137931,0.23448275862068965,0,0.04827586206896552,0.04827586206896552,0.06206896551724138,0.6758620689655173,0.43448275862068964,0.034482758620689655,0.47586206896551725,0.41379310344827586,0.027586206896551724
Privacy,161,0.9192546583850931,0.08074534161490683,0.17391304347826086,0,0.018633540372670808,0.018633540372670808,0,0.5341614906832298,0.422360248447205,0.049689440993788817,0.5652173913043478,0.5279503105590062,0.043478260869565216
Sex-Related Crimes,296,0.9695945945945946,0.030405405405405407,0.27364864864864863,0,0.010135135135135136,0.02027027027027027,0.20608108108108109,0.652027027027027,0.34797297297297297,0.060810810810810814,0.5371621621621622,0.28040540540540543,0.06418918918918919
Sexual Content,327,0.9480122324159022,0.05198776758409786,0.27522935779816515,0,0.01529051987767584,0.03058103975535168,0.05504587155963303,0.42507645259938837,0.25076452599388377,0.05504587155963303,0.6666666666666666,0.16819571865443425,0.07033639143730887
Specialized Advice,86,0.8604651162790697,0.13953488372093023,0.12790697674418605,0,0.046511627906976744,0.1511627906976744,0.18604651162790697,0.6511627906976745,0.6046511627906976,0.011627906976744186,0.5116279069767442,0.6395348837209303,0.023255813953488372
Suicide & Self-Harm,244,0.8319672131147541,0.1680327868852459,0.36475409836065575,0,0.06147540983606557,0.01639344262295082,0.7049180327868853,0.3975409836065574,0.20081967213114754,0.004098360655737705,0.319672131147541,0.6475409836065574,0.02459016393442623
Violent Crimes,218,0.9403669724770642,0.05963302752293578,0.22935779816513763,0,0.03211009174311927,0.013761467889908258,0.10091743119266056,0.6880733944954128,0.3119266055045872,0.0871559633027523,0.6055045871559633,0.22477064220183487,0.0779816513761468
