comparison,pair_id,mode,model,family,access,n_nc,implicit_nc,apology,solidarity,negative_stance,normative_suggestion,alternative_offer,executed_alternative
closed_family,gpt-5.3 vs grok-4.20,Model A,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
closed_family,gpt-5.3 vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,141,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
closed_family,claude-opus-4.6 vs gpt-5.3,Model A,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
closed_family,claude-opus-4.6 vs gpt-5.3,Model B,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
closed_family,claude-opus-4.6 vs gemini-2.5-pro,Model A,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
closed_family,claude-opus-4.6 vs gemini-2.5-pro,Model B,gemini-2.5-pro,Google,closed/proprietary,110,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
closed_family,claude-opus-4.6 vs grok-4.20,Model A,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
closed_family,claude-opus-4.6 vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,141,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
closed_family,gemini-2.5-pro vs gpt-5.3,Model A,gemini-2.5-pro,Google,closed/proprietary,110,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
closed_family,gemini-2.5-pro vs gpt-5.3,Model B,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
closed_family,gemini-2.5-pro vs grok-4.20,Model A,gemini-2.5-pro,Google,closed/proprietary,110,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
closed_family,gemini-2.5-pro vs grok-4.20,Model B,grok-4.20,xAI,closed/proprietary,141,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
