comparison,pair_id,mode,model,family,access,n_total,n_nc,full_compliance,non_compliance,partial_compliance,bare,ethics_based,policy_based,capacity_based
size,llama-3.1-8b vs llama-3.1-70b,Smaller,llama-3.1-8b,Meta,open-weight,199,183,0.06532663316582915,0.9195979899497487,0.01507537688442211,0.7650273224043715,0.20765027322404372,0.0273224043715847,0
size,llama-3.1-8b vs llama-3.1-70b,Larger,llama-3.1-70b,Meta,open-weight,199,154,0.20100502512562815,0.7738693467336684,0.02512562814070352,0.6818181818181818,0.18181818181818182,0.12337662337662338,0.012987012987012988
size,qwen3-8b vs qwen3-32b,Smaller,qwen3-8b,Qwen,open-weight,199,136,0.24623115577889448,0.6834170854271356,0.07035175879396985,0.0661764705882353,0.8676470588235294,0.058823529411764705,0.007352941176470588
size,qwen3-8b vs qwen3-32b,Larger,qwen3-32b,Qwen,open-weight,197,126,0.3147208121827411,0.6395939086294417,0.04568527918781726,0.18253968253968253,0.753968253968254,0.05555555555555555,0.007936507936507936
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,Smaller,qwen3-8b-reasoning,Qwen,open-weight,198,134,0.23737373737373738,0.6767676767676768,0.08585858585858586,0.06716417910447761,0.8731343283582089,0.05970149253731343,0
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,Larger,qwen3-32b-reasoning,Qwen,open-weight,199,123,0.32663316582914576,0.6180904522613065,0.05527638190954774,0.08943089430894309,0.8292682926829268,0.08130081300813008,0
reasoning,claude-opus-4.6 vs claude-opus-4.6-reasoning,Standard,claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269
reasoning,claude-opus-4.6 vs claude-opus-4.6-reasoning,Reasoning,claude-opus-4.6-reasoning,Anthropic,closed/proprietary,194,170,0.10824742268041238,0.8762886597938144,0.015463917525773196,0.01764705882352941,0.9117647058823529,0.052941176470588235,0.01764705882352941
reasoning,gpt-5.3 vs gpt-5.3-reasoning,Standard,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
reasoning,gpt-5.3 vs gpt-5.3-reasoning,Reasoning,gpt-5.3-reasoning,OpenAI,closed/proprietary,198,177,0.0707070707070707,0.8939393939393939,0.03535353535353535,0.14689265536723164,0.8022598870056498,0.04519774011299435,0.005649717514124294
reasoning,qwen3-8b vs qwen3-8b-reasoning,Standard,qwen3-8b,Qwen,open-weight,199,136,0.24623115577889448,0.6834170854271356,0.07035175879396985,0.0661764705882353,0.8676470588235294,0.058823529411764705,0.007352941176470588
reasoning,qwen3-8b vs qwen3-8b-reasoning,Reasoning,qwen3-8b-reasoning,Qwen,open-weight,198,134,0.23737373737373738,0.6767676767676768,0.08585858585858586,0.06716417910447761,0.8731343283582089,0.05970149253731343,0
reasoning,qwen3-32b vs qwen3-32b-reasoning,Standard,qwen3-32b,Qwen,open-weight,197,126,0.3147208121827411,0.6395939086294417,0.04568527918781726,0.18253968253968253,0.753968253968254,0.05555555555555555,0.007936507936507936
reasoning,qwen3-32b vs qwen3-32b-reasoning,Reasoning,qwen3-32b-reasoning,Qwen,open-weight,199,123,0.32663316582914576,0.6180904522613065,0.05527638190954774,0.08943089430894309,0.8292682926829268,0.08130081300813008,0
temporal,gpt-4o vs gpt-5,Earlier,gpt-4o,OpenAI,closed/proprietary,200,157,0.18,0.785,0.035,0.9235668789808917,0.07643312101910828,0,0
temporal,gpt-4o vs gpt-5,Later,gpt-5,OpenAI,closed/proprietary,198,176,0.0707070707070707,0.8888888888888888,0.04040404040404041,0.22727272727272727,0.7329545454545454,0.03409090909090909,0.005681818181818182
temporal,gpt-5 vs gpt-5.3,Earlier,gpt-5,OpenAI,closed/proprietary,198,176,0.0707070707070707,0.8888888888888888,0.04040404040404041,0.22727272727272727,0.7329545454545454,0.03409090909090909,0.005681818181818182
temporal,gpt-5 vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
temporal,gpt-4o vs gpt-5.3,Earlier,gpt-4o,OpenAI,closed/proprietary,200,157,0.18,0.785,0.035,0.9235668789808917,0.07643312101910828,0,0
