comparison,pair_id,mode,model,family,access,n_nc,implicit_nc,apology,solidarity,negative_stance,normative_suggestion,alternative_offer,executed_alternative
size,llama-3.1-8b vs llama-3.1-70b,Smaller,llama-3.1-8b,Meta,open-weight,183,0.01639344262295082,0,0.0546448087431694,0.1092896174863388,0,0.3333333333333333,0.07103825136612021
size,llama-3.1-8b vs llama-3.1-70b,Larger,llama-3.1-70b,Meta,open-weight,154,0.07142857142857142,0,0.03896103896103896,0.1038961038961039,0.01948051948051948,0.3961038961038961,0.05194805194805195
size,qwen3-8b vs qwen3-32b,Smaller,qwen3-8b,Qwen,open-weight,136,0.3088235294117647,0.13970588235294118,0.15441176470588236,0.8382352941176471,0.5661764705882353,0.5661764705882353,0.5882352941176471
size,qwen3-8b vs qwen3-32b,Larger,qwen3-32b,Qwen,open-weight,126,0.2222222222222222,0.6111111111111112,0.1984126984126984,0.7222222222222222,0.47619047619047616,0.5158730158730159,0.4523809523809524
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,Smaller,qwen3-8b-reasoning,Qwen,open-weight,134,0.3358208955223881,0.17164179104477612,0.15671641791044777,0.8432835820895522,0.6044776119402985,0.5149253731343284,0.5746268656716418
size,qwen3-8b-reasoning vs qwen3-32b-reasoning,Larger,qwen3-32b-reasoning,Qwen,open-weight,123,0.2601626016260163,0.6178861788617886,0.18699186991869918,0.8130081300813008,0.6097560975609756,0.5365853658536586,0.5203252032520326
reasoning,claude-opus-4.6 vs claude-opus-4.6-reasoning,Standard,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
reasoning,claude-opus-4.6 vs claude-opus-4.6-reasoning,Reasoning,claude-opus-4.6-reasoning,Anthropic,closed/proprietary,170,0,0,0.24705882352941178,0.8352941176470589,0.3352941176470588,0.6882352941176471,0.4470588235294118
reasoning,gpt-5.3 vs gpt-5.3-reasoning,Standard,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
reasoning,gpt-5.3 vs gpt-5.3-reasoning,Reasoning,gpt-5.3-reasoning,OpenAI,closed/proprietary,177,0.011299435028248588,0.03389830508474576,0.0847457627118644,0.5932203389830508,0.4632768361581921,0.847457627118644,0.3898305084745763
reasoning,qwen3-8b vs qwen3-8b-reasoning,Standard,qwen3-8b,Qwen,open-weight,136,0.3088235294117647,0.13970588235294118,0.15441176470588236,0.8382352941176471,0.5661764705882353,0.5661764705882353,0.5882352941176471
reasoning,qwen3-8b vs qwen3-8b-reasoning,Reasoning,qwen3-8b-reasoning,Qwen,open-weight,134,0.3358208955223881,0.17164179104477612,0.15671641791044777,0.8432835820895522,0.6044776119402985,0.5149253731343284,0.5746268656716418
reasoning,qwen3-32b vs qwen3-32b-reasoning,Standard,qwen3-32b,Qwen,open-weight,126,0.2222222222222222,0.6111111111111112,0.1984126984126984,0.7222222222222222,0.47619047619047616,0.5158730158730159,0.4523809523809524
