model,family,access,n_total,n_nc,full_compliance,non_compliance,partial_compliance,bare,ethics_based,policy_based,capacity_based,implicit_nc,apology,solidarity,negative_stance,normative_suggestion,alternative_offer,executed_alternative
gpt-4o,OpenAI,closed/proprietary,200,157,0.18,0.785,0.035,0.9235668789808917,0.07643312101910828,0,0,0.10191082802547771,0.9363057324840764,0.07006369426751592,0.044585987261146494,0.044585987261146494,0.03821656050955414,0.07006369426751592
gpt-5,OpenAI,closed/proprietary,198,176,0.0707070707070707,0.8888888888888888,0.04040404040404041,0.22727272727272727,0.7329545454545454,0.03409090909090909,0.005681818181818182,0.022727272727272728,0.3977272727272727,0.14204545454545456,0.5511363636363636,0.4034090909090909,0.5170454545454546,0.6647727272727273
gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
gpt-5.3-reasoning,OpenAI,closed/proprietary,198,177,0.0707070707070707,0.8939393939393939,0.03535353535353535,0.14689265536723164,0.8022598870056498,0.04519774011299435,0.005649717514124294,0.011299435028248588,0.03389830508474576,0.0847457627118644,0.5932203389830508,0.4632768361581921,0.847457627118644,0.3898305084745763
claude-opus-3,Anthropic,closed/proprietary,196,185,0.04081632653061224,0.9438775510204082,0.015306122448979591,0.021621621621621623,0.9135135135135135,0.04864864864864865,0.016216216216216217,0.21081081081081082,0.8972972972972973,0.15135135135135136,0.8594594594594595,0.44324324324324327,0.5513513513513514,0.16756756756756758
claude-sonnet-3.7,Anthropic,closed/proprietary,198,169,0.10101010101010101,0.8535353535353535,0.045454545454545456,0.011834319526627219,0.8875739644970414,0.05917159763313609,0.04142011834319527,0.1952662721893491,0.39644970414201186,0.14792899408284024,0.8816568047337278,0.5384615384615384,0.757396449704142,0.42011834319526625
claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
claude-opus-4.6-reasoning,Anthropic,closed/proprietary,194,170,0.10824742268041238,0.8762886597938144,0.015463917525773196,0.01764705882352941,0.9117647058823529,0.052941176470588235,0.01764705882352941,0,0,0.24705882352941178,0.8352941176470589,0.3352941176470588,0.6882352941176471,0.4470588235294118
gemini-2.5-pro,Google,closed/proprietary,179,110,0.3463687150837989,0.6145251396648045,0.03910614525139665,0.045454545454545456,0.7454545454545455,0.20909090909090908,0,0.045454545454545456,0.03636363636363636,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.12727272727272726,0.6727272727272727
grok-4.20,xAI,closed/proprietary,181,141,0.20441988950276244,0.7790055248618785,0.016574585635359115,0.09929078014184398,0.7659574468085106,0.1347517730496454,0,0.05673758865248227,0.24822695035460993,0.10638297872340426,0.7801418439716312,0.375886524822695,0.5602836879432624,0.3333333333333333
llama-3.1-8b,Meta,open-weight,199,183,0.06532663316582915,0.9195979899497487,0.01507537688442211,0.7650273224043715,0.20765027322404372,0.0273224043715847,0,0.01639344262295082,0,0.0546448087431694,0.1092896174863388,0,0.3333333333333333,0.07103825136612021
llama-3.1-70b,Meta,open-weight,199,154,0.20100502512562815,0.7738693467336684,0.02512562814070352,0.6818181818181818,0.18181818181818182,0.12337662337662338,0.012987012987012988,0.07142857142857142,0,0.03896103896103896,0.1038961038961039,0.01948051948051948,0.3961038961038961,0.05194805194805195
qwen3-8b,Qwen,open-weight,199,136,0.24623115577889448,0.6834170854271356,0.07035175879396985,0.0661764705882353,0.8676470588235294,0.058823529411764705,0.007352941176470588,0.3088235294117647,0.13970588235294118,0.15441176470588236,0.8382352941176471,0.5661764705882353,0.5661764705882353,0.5882352941176471
qwen3-8b-reasoning,Qwen,open-weight,198,134,0.23737373737373738,0.6767676767676768,0.08585858585858586,0.06716417910447761,0.8731343283582089,0.05970149253731343,0,0.3358208955223881,0.17164179104477612,0.15671641791044777,0.8432835820895522,0.6044776119402985,0.5149253731343284,0.5746268656716418
qwen3-32b,Qwen,open-weight,197,126,0.3147208121827411,0.6395939086294417,0.04568527918781726,0.18253968253968253,0.753968253968254,0.05555555555555555,0.007936507936507936,0.2222222222222222,0.6111111111111112,0.1984126984126984,0.7222222222222222,0.47619047619047616,0.5158730158730159,0.4523809523809524
qwen3-32b-reasoning,Qwen,open-weight,199,123,0.32663316582914576,0.6180904522613065,0.05527638190954774,0.08943089430894309,0.8292682926829268,0.08130081300813008,0,0.2601626016260163,0.6178861788617886,0.18699186991869918,0.8130081300813008,0.6097560975609756,0.5365853658536586,0.5203252032520326
