model,family,access,n_nc,explicit_nc,implicit_nc,apology,hedge,explanatory_preface,positive_alignment,solidarity,negative_stance,normative_suggestion,statement_of_principle,alternative_offer,executed_alternative,role_based,n,nc_rate
gpt-4o,OpenAI,closed/proprietary,157,0.8980891719745223,0.10191082802547771,0.9363057324840764,0,0.006369426751592357,0,0.07006369426751592,0.044585987261146494,0.044585987261146494,0.006369426751592357,0.03821656050955414,0.07006369426751592,0,200,0.785
gpt-5,OpenAI,closed/proprietary,176,0.9772727272727273,0.022727272727272728,0.3977272727272727,0,0,0.011363636363636364,0.14204545454545456,0.5511363636363636,0.4034090909090909,0.017045454545454544,0.5170454545454546,0.6647727272727273,0.005681818181818182,198,0.8888888888888888
gpt-5.3,OpenAI,closed/proprietary,175,0.9771428571428571,0.022857142857142857,0.04,0,0,0.017142857142857144,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.005714285714285714,0.8514285714285714,0.38857142857142857,0,199,0.8793969849246231
gpt-5.3-reasoning,OpenAI,closed/proprietary,177,0.9887005649717514,0.011299435028248588,0.03389830508474576,0,0.011299435028248588,0.011299435028248588,0.0847457627118644,0.5932203389830508,0.4632768361581921,0.005649717514124294,0.847457627118644,0.3898305084745763,0,198,0.8939393939393939
claude-sonnet-3.7,Anthropic,closed/proprietary,169,0.8047337278106509,0.1952662721893491,0.39644970414201186,0,0.1242603550295858,0.25443786982248523,0.14792899408284024,0.8816568047337278,0.5384615384615384,0.03550295857988166,0.757396449704142,0.42011834319526625,0.07692307692307693,198,0.8535353535353535
claude-sonnet-4.6,Anthropic,closed/proprietary,159,0.9622641509433962,0.03773584905660377,0,0,0.06918238993710692,0.050314465408805034,0.14465408805031446,0.779874213836478,0.24528301886792453,0.006289308176100629,0.559748427672956,0.34591194968553457,0.012578616352201259,193,0.8238341968911918
claude-opus-4.6,Anthropic,closed/proprietary,171,0.9941520467836257,0.005847953216374269,0.011695906432748537,0,0.005847953216374269,0.029239766081871343,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.005847953216374269,0.7134502923976608,0.4444444444444444,0.005847953216374269,194,0.8814432989690721
claude-opus-4.6-reasoning,Anthropic,closed/proprietary,170,1,0,0,0,0,0.01764705882352941,0.24705882352941178,0.8352941176470589,0.3352941176470588,0.011764705882352941,0.6882352941176471,0.4470588235294118,0.011764705882352941,194,0.8762886597938144
gemini-2.5-pro,Google,closed/proprietary,110,0.9545454545454546,0.045454545454545456,0.03636363636363636,0,0.12727272727272726,0.08181818181818182,0.35454545454545455,0.9090909090909091,0.43636363636363634,0.11818181818181818,0.12727272727272726,0.6727272727272727,0.6818181818181818,179,0.6145251396648045
grok-4.20,xAI,closed/proprietary,141,0.9432624113475178,0.05673758865248227,0.24822695035460993,0,0,0,0.10638297872340426,0.7801418439716312,0.375886524822695,0.014184397163120567,0.5602836879432624,0.3333333333333333,0.028368794326241134,181,0.7790055248618785
llama-3.1-8b,Meta,open-weight,183,0.9836065573770492,0.01639344262295082,0,0,0,0,0.0546448087431694,0.1092896174863388,0,0,0.3333333333333333,0.07103825136612021,0,199,0.9195979899497487
llama-3.1-70b,Meta,open-weight,154,0.9285714285714286,0.07142857142857142,0,0,0.032467532467532464,0.05194805194805195,0.03896103896103896,0.1038961038961039,0.01948051948051948,0,0.3961038961038961,0.05194805194805195,0,199,0.7738693467336684
qwen3-8b,Qwen,open-weight,136,0.6911764705882353,0.3088235294117647,0.13970588235294118,0,0.0661764705882353,0.014705882352941176,0.15441176470588236,0.8382352941176471,0.5661764705882353,0.16911764705882354,0.5661764705882353,0.5882352941176471,0.09558823529411764,199,0.6834170854271356
qwen3-8b-reasoning,Qwen,open-weight,134,0.664179104477612,0.3358208955223881,0.17164179104477612,0,0.05970149253731343,0.014925373134328358,0.15671641791044777,0.8432835820895522,0.6044776119402985,0.1791044776119403,0.5149253731343284,0.5746268656716418,0.09701492537313433,198,0.6767676767676768
qwen3-32b,Qwen,open-weight,126,0.7777777777777778,0.2222222222222222,0.6111111111111112,0,0.047619047619047616,0.007936507936507936,0.1984126984126984,0.7222222222222222,0.47619047619047616,0.19047619047619047,0.5158730158730159,0.4523809523809524,0.09523809523809523,197,0.6395939086294417
qwen3-32b-reasoning,Qwen,open-weight,123,0.7398373983739838,0.2601626016260163,0.6178861788617886,0,0.008130081300813009,0,0.18699186991869918,0.8130081300813008,0.6097560975609756,0.25203252032520324,0.5365853658536586,0.5203252032520326,0.08943089430894309,199,0.6180904522613065
