comparison,pair_id,mode,model,family,n_nc,apology,positive_alignment,solidarity,explanatory_preface,hedge
temporal,gpt-4o vs gpt-5,Earlier,gpt-4o,OpenAI,157,0.9363057324840764,0,0.07006369426751592,0.006369426751592357,0
temporal,gpt-4o vs gpt-5,Later,gpt-5,OpenAI,176,0.3977272727272727,0.011363636363636364,0.14204545454545456,0,0
temporal,gpt-5 vs gpt-5.3,Earlier,gpt-5,OpenAI,176,0.3977272727272727,0.011363636363636364,0.14204545454545456,0,0
temporal,gpt-5 vs gpt-5.3,Later,gpt-5.3,OpenAI,175,0.04,0.017142857142857144,0.07428571428571429,0,0
temporal,gpt-4o vs gpt-5.3,Earlier,gpt-4o,OpenAI,157,0.9363057324840764,0,0.07006369426751592,0.006369426751592357,0
temporal,gpt-4o vs gpt-5.3,Later,gpt-5.3,OpenAI,175,0.04,0.017142857142857144,0.07428571428571429,0,0
temporal,claude-opus-3 vs claude-sonnet-3.7,Earlier,claude-opus-3,Anthropic,185,0.8972972972972973,0.005405405405405406,0.15135135135135136,0,0
temporal,claude-opus-3 vs claude-sonnet-3.7,Later,claude-sonnet-3.7,Anthropic,169,0.39644970414201186,0.25443786982248523,0.14792899408284024,0.1242603550295858,0
temporal,claude-sonnet-3.7 vs claude-opus-4.6,Earlier,claude-sonnet-3.7,Anthropic,169,0.39644970414201186,0.25443786982248523,0.14792899408284024,0.1242603550295858,0
temporal,claude-sonnet-3.7 vs claude-opus-4.6,Later,claude-opus-4.6,Anthropic,171,0.011695906432748537,0.029239766081871343,0.21052631578947367,0.005847953216374269,0
temporal,claude-opus-3 vs claude-opus-4.6,Earlier,claude-opus-3,Anthropic,185,0.8972972972972973,0.005405405405405406,0.15135135135135136,0,0
temporal,claude-opus-3 vs claude-opus-4.6,Later,claude-opus-4.6,Anthropic,171,0.011695906432748537,0.029239766081871343,0.21052631578947367,0.005847953216374269,0
