comparison,pair_id,mode,model,family,access,n_total,n_nc,full_compliance,non_compliance,partial_compliance,bare,ethics_based,policy_based,capacity_based
temporal,gpt-4o vs gpt-5,Earlier,gpt-4o,OpenAI,closed/proprietary,200,157,0.18,0.785,0.035,0.9235668789808917,0.07643312101910828,0,0
temporal,gpt-4o vs gpt-5,Later,gpt-5,OpenAI,closed/proprietary,198,176,0.0707070707070707,0.8888888888888888,0.04040404040404041,0.22727272727272727,0.7329545454545454,0.03409090909090909,0.005681818181818182
temporal,gpt-5 vs gpt-5.3,Earlier,gpt-5,OpenAI,closed/proprietary,198,176,0.0707070707070707,0.8888888888888888,0.04040404040404041,0.22727272727272727,0.7329545454545454,0.03409090909090909,0.005681818181818182
temporal,gpt-5 vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
temporal,gpt-4o vs gpt-5.3,Earlier,gpt-4o,OpenAI,closed/proprietary,200,157,0.18,0.785,0.035,0.9235668789808917,0.07643312101910828,0,0
temporal,gpt-4o vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,199,175,0.07537688442211055,0.8793969849246231,0.04522613065326633,0.09142857142857143,0.8685714285714285,0.03428571428571429,0.005714285714285714
temporal,claude-opus-3 vs claude-sonnet-3.7,Earlier,claude-opus-3,Anthropic,closed/proprietary,196,185,0.04081632653061224,0.9438775510204082,0.015306122448979591,0.021621621621621623,0.9135135135135135,0.04864864864864865,0.016216216216216217
temporal,claude-opus-3 vs claude-sonnet-3.7,Later,claude-sonnet-3.7,Anthropic,closed/proprietary,198,169,0.10101010101010101,0.8535353535353535,0.045454545454545456,0.011834319526627219,0.8875739644970414,0.05917159763313609,0.04142011834319527
temporal,claude-sonnet-3.7 vs claude-opus-4.6,Earlier,claude-sonnet-3.7,Anthropic,closed/proprietary,198,169,0.10101010101010101,0.8535353535353535,0.045454545454545456,0.011834319526627219,0.8875739644970414,0.05917159763313609,0.04142011834319527
temporal,claude-sonnet-3.7 vs claude-opus-4.6,Later,claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269
temporal,claude-opus-3 vs claude-opus-4.6,Earlier,claude-opus-3,Anthropic,closed/proprietary,196,185,0.04081632653061224,0.9438775510204082,0.015306122448979591,0.021621621621621623,0.9135135135135135,0.04864864864864865,0.016216216216216217
temporal,claude-opus-3 vs claude-opus-4.6,Later,claude-opus-4.6,Anthropic,closed/proprietary,194,171,0.10309278350515463,0.8814432989690721,0.015463917525773196,0.04093567251461988,0.9181286549707602,0.03508771929824561,0.005847953216374269
