comparison,pair_id,mode,model,family,access,n_nc,implicit_nc,apology,solidarity,negative_stance,normative_suggestion,alternative_offer,executed_alternative
temporal,gpt-4o vs gpt-5,Earlier,gpt-4o,OpenAI,closed/proprietary,157,0.10191082802547771,0.9363057324840764,0.07006369426751592,0.044585987261146494,0.044585987261146494,0.03821656050955414,0.07006369426751592
temporal,gpt-4o vs gpt-5,Later,gpt-5,OpenAI,closed/proprietary,176,0.022727272727272728,0.3977272727272727,0.14204545454545456,0.5511363636363636,0.4034090909090909,0.5170454545454546,0.6647727272727273
temporal,gpt-5 vs gpt-5.3,Earlier,gpt-5,OpenAI,closed/proprietary,176,0.022727272727272728,0.3977272727272727,0.14204545454545456,0.5511363636363636,0.4034090909090909,0.5170454545454546,0.6647727272727273
temporal,gpt-5 vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
temporal,gpt-4o vs gpt-5.3,Earlier,gpt-4o,OpenAI,closed/proprietary,157,0.10191082802547771,0.9363057324840764,0.07006369426751592,0.044585987261146494,0.044585987261146494,0.03821656050955414,0.07006369426751592
temporal,gpt-4o vs gpt-5.3,Later,gpt-5.3,OpenAI,closed/proprietary,175,0.022857142857142857,0.04,0.07428571428571429,0.6057142857142858,0.5028571428571429,0.8514285714285714,0.38857142857142857
temporal,claude-opus-3 vs claude-sonnet-3.7,Earlier,claude-opus-3,Anthropic,closed/proprietary,185,0.21081081081081082,0.8972972972972973,0.15135135135135136,0.8594594594594595,0.44324324324324327,0.5513513513513514,0.16756756756756758
temporal,claude-opus-3 vs claude-sonnet-3.7,Later,claude-sonnet-3.7,Anthropic,closed/proprietary,169,0.1952662721893491,0.39644970414201186,0.14792899408284024,0.8816568047337278,0.5384615384615384,0.757396449704142,0.42011834319526625
temporal,claude-sonnet-3.7 vs claude-opus-4.6,Earlier,claude-sonnet-3.7,Anthropic,closed/proprietary,169,0.1952662721893491,0.39644970414201186,0.14792899408284024,0.8816568047337278,0.5384615384615384,0.757396449704142,0.42011834319526625
temporal,claude-sonnet-3.7 vs claude-opus-4.6,Later,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
temporal,claude-opus-3 vs claude-opus-4.6,Earlier,claude-opus-3,Anthropic,closed/proprietary,185,0.21081081081081082,0.8972972972972973,0.15135135135135136,0.8594594594594595,0.44324324324324327,0.5513513513513514,0.16756756756756758
temporal,claude-opus-3 vs claude-opus-4.6,Later,claude-opus-4.6,Anthropic,closed/proprietary,171,0.005847953216374269,0.011695906432748537,0.21052631578947367,0.8245614035087719,0.28654970760233917,0.7134502923976608,0.4444444444444444
