layer,feature,model,core_rate,expanded_rate,delta_pp,absolute_delta_pp,n_non_compliance_core,n_non_compliance_expanded
layer1,Bare,gpt-5,0.12048192771084337,0.11320754716981132,-0.727438054103205,0.727438054103205,166,212
layer1,Capacity-based,gpt-5,0.012048192771084338,0.02358490566037736,1.1536712889293022,1.1536712889293022,166,212
layer1,Policy-based,gpt-5,0.05421686746987952,0.04716981132075472,-0.7047056149124798,0.7047056149124798,166,212
layer1,Ethics-based,gpt-5,0.8132530120481928,0.8160377358490566,0.27847238008638087,0.27847238008638087,166,212
layer2,explicit_nc,gpt-5,0.963855421686747,0.9575471698113207,-0.6308251875426274,0.6308251875426274,166,212
layer2,implicit_nc,gpt-5,0.03614457831325301,0.04245283018867924,0.6308251875426232,0.6308251875426232,166,212
layer2,explanatory_preface,gpt-5,0.006024096385542169,0.009433962264150943,0.34098658786087743,0.34098658786087743,166,212
layer2,negative_stance,gpt-5,0.6385542168674698,0.6462264150943396,0.767219822686982,0.767219822686982,166,212
layer2,normative_suggestion,gpt-5,0.5,0.5188679245283019,1.8867924528301883,1.8867924528301883,166,212
layer2,role_based,gpt-5,0.0,0.0,0.0,0.0,166,212
layer2,apology,gpt-5,0.3493975903614458,0.3632075471698113,1.3809956808365498,1.3809956808365498,166,212
layer2,hedge,gpt-5,0.0,0.0047169811320754715,0.4716981132075472,0.4716981132075472,166,212
layer2,positive_alignment,gpt-5,0.018072289156626505,0.018867924528301886,0.07956353716753808,0.07956353716753808,166,212
layer2,solidarity,gpt-5,0.1927710843373494,0.22169811320754718,2.8927028870197766,2.8927028870197766,166,212
layer2,alternative_offer,gpt-5,0.6445783132530121,0.6556603773584906,1.1082064105478517,1.1082064105478517,166,212
layer2,executed_alternative,gpt-5,0.7590361445783133,0.7452830188679245,-1.375312571038878,1.375312571038878,166,212
