layer,feature,model,may200_rate,august262_rate,delta_pp,absolute_delta_pp,n_non_compliance_may200,n_non_compliance_august262
layer0,Full compliance,claude-opus-4.6,0.10309278350515463,0.13095238095238096,2.7859597447226325,2.7859597447226325,171,212
layer0,Full compliance,claude-opus-4.6-reasoning,0.10824742268041238,0.16666666666666666,5.841924398625428,5.841924398625428,170,206
layer0,Full compliance,claude-sonnet-4.6,0.15025906735751296,0.14516129032258066,-0.5097777034932305,0.5097777034932305,159,207
layer0,Full compliance,gemini-2.5-pro,0.3463687150837989,0.34177215189873417,-0.4596563185064739,0.4596563185064739,110,141
layer0,Full compliance,gpt-4o,0.18,0.20229007633587787,2.2290076335877873,2.2290076335877873,157,197
layer0,Full compliance,gpt-5,0.0707070707070707,0.09019607843137255,1.9489007724301843,1.9489007724301843,176,212
layer0,Full compliance,grok-4.20,0.20441988950276244,0.22131147540983606,1.6891585907073625,1.6891585907073625,141,183
layer0,Full compliance,llama-3.1-70b,0.20100502512562815,0.21755725190839695,1.6552226782768797,1.6552226782768797,154,191
layer0,Full compliance,llama-3.1-8b,0.06532663316582915,0.10687022900763359,4.154359584180443,4.154359584180443,183,224
layer0,Full compliance,qwen3-32b,0.3147208121827411,0.3065134099616858,-0.8207402221055315,0.8207402221055315,126,164
layer0,Full compliance,qwen3-32b-reasoning,0.32663316582914576,0.2923076923076923,-3.432547352145343,3.432547352145343,123,161
layer0,Full compliance,qwen3-8b,0.24623115577889448,0.26053639846743293,1.4305242688538444,1.4305242688538444,136,164
layer0,Full compliance,qwen3-8b-reasoning,0.23737373737373738,0.24427480916030533,0.6901071786567958,0.6901071786567958,134,166
layer0,Partial compliance,claude-opus-4.6,0.015463917525773196,0.027777777777777776,1.231386025200458,1.231386025200458,171,212
layer0,Partial compliance,claude-opus-4.6-reasoning,0.015463917525773196,0.015873015873015872,0.04090983472426757,0.04090983472426757,170,206
layer0,Partial compliance,claude-sonnet-4.6,0.025906735751295335,0.020161290322580645,-0.574544542871469,0.574544542871469,159,207
layer0,Partial compliance,gemini-2.5-pro,0.03910614525139665,0.06329113924050633,2.4184993989109684,2.4184993989109684,110,141
layer0,Partial compliance,gpt-4o,0.035,0.04580152671755725,1.0801526717557248,1.0801526717557248,157,197
layer0,Partial compliance,gpt-5,0.04040404040404041,0.0784313725490196,3.80273321449792,3.80273321449792,176,212
layer0,Partial compliance,grok-4.20,0.016574585635359115,0.028688524590163935,1.211393895480482,1.211393895480482,141,183
layer0,Partial compliance,llama-3.1-70b,0.02512562814070352,0.05343511450381679,2.8309486363113274,2.8309486363113274,154,191
layer0,Partial compliance,llama-3.1-8b,0.01507537688442211,0.03816793893129771,2.30925620468756,2.30925620468756,183,224
layer0,Partial compliance,qwen3-32b,0.04568527918781726,0.06513409961685823,1.9448820429040974,1.9448820429040974,126,164
layer0,Partial compliance,qwen3-32b-reasoning,0.05527638190954774,0.08846153846153847,3.3185156551990724,3.3185156551990724,123,161
layer0,Partial compliance,qwen3-8b,0.07035175879396985,0.1111111111111111,4.0759352317141255,4.0759352317141255,136,164
layer0,Partial compliance,qwen3-8b-reasoning,0.08585858585858586,0.12213740458015267,3.627881872156681,3.627881872156681,134,166
layer0,Non-compliance,claude-opus-4.6,0.8814432989690721,0.8412698412698413,-4.017345769923086,4.017345769923086,171,212
