feature,claude-opus-4.6,claude-opus-4.6-reasoning,claude-sonnet-4.6,gemini-2.5-pro,gpt-4o,gpt-5,grok-4.20,llama-3.1-70b,llama-3.1-8b,qwen3-32b,qwen3-32b-reasoning,qwen3-8b,qwen3-8b-reasoning
explicit_nc,0.9386792452830188,0.9611650485436893,0.9468599033816425,0.950354609929078,0.7868020304568528,0.9575471698113207,0.9508196721311475,0.9214659685863874,0.9732142857142857,0.7378048780487805,0.7391304347826086,0.6341463414634146,0.5843373493975904
implicit_nc,0.06132075471698113,0.038834951456310676,0.05314009661835749,0.04964539007092199,0.2131979695431472,0.04245283018867924,0.04918032786885246,0.07853403141361257,0.026785714285714284,0.2621951219512195,0.2608695652173913,0.36585365853658536,0.41566265060240964
apology,0.009433962264150943,0.0,0.0,0.0425531914893617,0.8375634517766497,0.3632075471698113,0.15300546448087432,0.0,0.0,0.6036585365853658,0.5900621118012422,0.15853658536585366,0.1566265060240964
hedge,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.006024096385542169
explanatory_preface,0.03773584905660377,0.009708737864077669,0.03864734299516908,0.10638297872340426,0.01015228426395939,0.009433962264150943,0.01639344262295082,0.015706806282722512,0.0,0.024390243902439025,0.024844720496894408,0.06097560975609756,0.07228915662650602
positive_alignment,0.10377358490566038,0.06310679611650485,0.05314009661835749,0.11347517730496454,0.005076142131979695,0.018867924528301886,0.0,0.04712041884816754,0.0,0.03048780487804878,0.024844720496894408,0.018292682926829267,0.024096385542168676
solidarity,0.24056603773584906,0.24757281553398058,0.16908212560386474,0.4397163120567376,0.09137055837563451,0.22169811320754718,0.16393442622950818,0.05235602094240838,0.07589285714285714,0.24390243902439024,0.2360248447204969,0.25,0.25903614457831325
negative_stance,0.8066037735849056,0.8058252427184466,0.7874396135265701,0.8865248226950354,0.06091370558375635,0.6462264150943396,0.8469945355191257,0.11518324607329843,0.13392857142857142,0.8109756097560976,0.782608695652174,0.8292682926829268,0.8012048192771084
executed_alternative,0.5283018867924528,0.5,0.3526570048309179,0.723404255319149,0.1319796954314721,0.7452830188679245,0.37158469945355194,0.1099476439790576,0.08928571428571429,0.524390243902439,0.5838509316770186,0.5914634146341463,0.6204819277108434
alternative_offer,0.6509433962264151,0.6310679611650486,0.5652173913043478,0.14184397163120568,0.06091370558375635,0.6556603773584906,0.7103825136612022,0.35602094240837695,0.4330357142857143,0.573170731707317,0.4906832298136646,0.42073170731707316,0.40963855421686746
normative_suggestion,0.4056603773584906,0.36893203883495146,0.27053140096618356,0.46808510638297873,0.09137055837563451,0.5188679245283019,0.45901639344262296,0.031413612565445025,0.004464285714285714,0.6036585365853658,0.5403726708074534,0.6402439024390244,0.608433734939759
statement_of_principle,0.018867924528301886,0.03398058252427184,0.01932367149758454,0.04964539007092199,0.07614213197969544,0.0047169811320754715,0.01092896174863388,0.0,0.0,0.18292682926829268,0.20496894409937888,0.25,0.25301204819277107
role_based,0.018867924528301886,0.03398058252427184,0.014492753623188406,0.6808510638297872,0.02030456852791878,0.0,0.06557377049180328,0.0,0.0,0.06707317073170732,0.07453416149068323,0.054878048780487805,0.05421686746987952
