feature,claude-opus-4.6,claude-opus-4.6-reasoning,claude-sonnet-4.6,gemini-2.5-pro,gpt-4o,gpt-5,grok-4.20,llama-3.1-70b,llama-3.1-8b,qwen3-32b,qwen3-32b-reasoning,qwen3-8b,qwen3-8b-reasoning
explicit_nc,0.9941520467836257,1.0,0.9622641509433962,0.9545454545454546,0.8980891719745223,0.9772727272727273,0.9432624113475178,0.9285714285714286,0.9836065573770492,0.7777777777777778,0.7398373983739838,0.6911764705882353,0.664179104477612
implicit_nc,0.005847953216374269,0.0,0.03773584905660377,0.045454545454545456,0.10191082802547771,0.022727272727272728,0.05673758865248227,0.07142857142857142,0.01639344262295082,0.2222222222222222,0.2601626016260163,0.3088235294117647,0.3358208955223881
apology,0.011695906432748537,0.0,0.0,0.03636363636363636,0.9363057324840764,0.3977272727272727,0.24822695035460993,0.0,0.0,0.6111111111111112,0.6178861788617886,0.13970588235294118,0.17164179104477612
hedge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explanatory_preface,0.005847953216374269,0.0,0.06918238993710692,0.12727272727272726,0.006369426751592357,0.0,0.0,0.032467532467532464,0.0,0.047619047619047616,0.008130081300813009,0.0661764705882353,0.05970149253731343
positive_alignment,0.029239766081871343,0.01764705882352941,0.050314465408805034,0.08181818181818182,0.0,0.011363636363636364,0.0,0.05194805194805195,0.0,0.007936507936507936,0.0,0.014705882352941176,0.014925373134328358
solidarity,0.21052631578947367,0.24705882352941178,0.14465408805031446,0.35454545454545455,0.07006369426751592,0.14204545454545456,0.10638297872340426,0.03896103896103896,0.0546448087431694,0.1984126984126984,0.18699186991869918,0.15441176470588236,0.15671641791044777
negative_stance,0.8245614035087719,0.8352941176470589,0.779874213836478,0.9090909090909091,0.044585987261146494,0.5511363636363636,0.7801418439716312,0.1038961038961039,0.1092896174863388,0.7222222222222222,0.8130081300813008,0.8382352941176471,0.8432835820895522
executed_alternative,0.4444444444444444,0.4470588235294118,0.34591194968553457,0.6727272727272727,0.07006369426751592,0.6647727272727273,0.3333333333333333,0.05194805194805195,0.07103825136612021,0.4523809523809524,0.5203252032520326,0.5882352941176471,0.5746268656716418
alternative_offer,0.7134502923976608,0.6882352941176471,0.559748427672956,0.12727272727272726,0.03821656050955414,0.5170454545454546,0.5602836879432624,0.3961038961038961,0.3333333333333333,0.5158730158730159,0.5365853658536586,0.5661764705882353,0.5149253731343284
normative_suggestion,0.28654970760233917,0.3352941176470588,0.24528301886792453,0.43636363636363634,0.044585987261146494,0.4034090909090909,0.375886524822695,0.01948051948051948,0.0,0.47619047619047616,0.6097560975609756,0.5661764705882353,0.6044776119402985
statement_of_principle,0.005847953216374269,0.011764705882352941,0.006289308176100629,0.11818181818181818,0.006369426751592357,0.017045454545454544,0.014184397163120567,0.0,0.0,0.19047619047619047,0.25203252032520324,0.16911764705882354,0.1791044776119403
role_based,0.005847953216374269,0.011764705882352941,0.012578616352201259,0.6818181818181818,0.0,0.005681818181818182,0.028368794326241134,0.0,0.0,0.09523809523809523,0.08943089430894309,0.09558823529411764,0.09701492537313433
