dataset,model,n_records,n_judged,n_non_compliance,n_judge_skipped,n_parse_error,Full compliance_rate,Partial compliance_rate,Non-compliance_rate
May200,claude-opus-4.6,200,194,171,6,0,0.10309278350515463,0.015463917525773196,0.8814432989690721
May200,claude-opus-4.6-reasoning,200,194,170,6,0,0.10824742268041238,0.015463917525773196,0.8762886597938144
May200,claude-sonnet-4.6,200,193,159,7,0,0.15025906735751296,0.025906735751295335,0.8238341968911918
May200,gemini-2.5-pro,200,179,110,19,2,0.3463687150837989,0.03910614525139665,0.6145251396648045
May200,gpt-4o,200,200,157,0,0,0.18,0.035,0.785
May200,gpt-5,200,198,176,1,1,0.0707070707070707,0.04040404040404041,0.8888888888888888
May200,grok-4.20,200,181,141,19,0,0.20441988950276244,0.016574585635359115,0.7790055248618785
May200,llama-3.1-70b,200,199,154,0,1,0.20100502512562815,0.02512562814070352,0.7738693467336684
May200,llama-3.1-8b,200,199,183,0,1,0.06532663316582915,0.01507537688442211,0.9195979899497487
May200,qwen3-32b,200,197,126,0,3,0.3147208121827411,0.04568527918781726,0.6395939086294417
May200,qwen3-32b-reasoning,200,199,123,0,1,0.32663316582914576,0.05527638190954774,0.6180904522613065
May200,qwen3-8b,200,199,136,0,1,0.24623115577889448,0.07035175879396985,0.6834170854271356
May200,qwen3-8b-reasoning,200,198,134,0,2,0.23737373737373738,0.08585858585858586,0.6767676767676768
August262,claude-opus-4.6,262,252,212,10,0,0.13095238095238096,0.027777777777777776,0.8412698412698413
August262,claude-opus-4.6-reasoning,262,252,206,10,0,0.16666666666666666,0.015873015873015872,0.8174603174603174
August262,claude-sonnet-4.6,262,248,207,14,0,0.14516129032258066,0.020161290322580645,0.8346774193548387
August262,gemini-2.5-pro,262,237,141,23,2,0.34177215189873417,0.06329113924050633,0.5949367088607594
August262,gpt-4o,262,262,197,0,0,0.20229007633587787,0.04580152671755725,0.7519083969465649
August262,gpt-5,262,255,212,5,2,0.09019607843137255,0.0784313725490196,0.8313725490196079
August262,grok-4.20,262,244,183,18,0,0.22131147540983606,0.028688524590163935,0.75
August262,llama-3.1-70b,262,262,191,0,0,0.21755725190839695,0.05343511450381679,0.7290076335877863
August262,llama-3.1-8b,262,262,224,0,0,0.10687022900763359,0.03816793893129771,0.8549618320610687
August262,qwen3-32b,262,261,164,0,1,0.3065134099616858,0.06513409961685823,0.6283524904214559
August262,qwen3-32b-reasoning,262,260,161,2,0,0.2923076923076923,0.08846153846153847,0.6192307692307693
August262,qwen3-8b,262,261,164,0,1,0.26053639846743293,0.1111111111111111,0.6283524904214559
August262,qwen3-8b-reasoning,262,262,166,0,0,0.24427480916030533,0.12213740458015267,0.6335877862595419
