model,n_shared,n_valid_pairs,layer0_exact_agreement,layer0_kappa,binary_nc_agreement,binary_nc_kappa,both_nc,may_nc_august_not_nc,may_not_nc_august_nc
claude-opus-4.6,138,132,0.946969696969697,0.7643458301453713,0.946969696969697,0.7583682008368202,112,6,1
claude-opus-4.6-reasoning,138,132,0.9166666666666666,0.7098321342925659,0.9242424242424242,0.7300613496932514,105,10,0
claude-sonnet-4.6,138,127,0.9763779527559056,0.9130930656934308,0.984251968503937,0.9406819243344233,106,0,2
gemini-2.5-pro,138,126,0.9206349206349206,0.8396742588115536,0.9365079365079365,0.861879967114278,77,6,2
gpt-4o,138,138,0.9420289855072463,0.8550800735101075,0.9637681159420289,0.905349794238683,100,5,0
gpt-5,138,133,0.9323308270676691,0.7149321266968324,0.9473684210526315,0.7699530516431923,112,5,2
grok-4.20,138,128,0.9296875,0.7727362398895246,0.9453125,0.8175895765472313,101,4,3
llama-3.1-70b,138,137,0.9124087591240876,0.7659786476868327,0.9197080291970803,0.7782845372958658,99,4,7
llama-3.1-8b,138,137,0.8759124087591241,0.39896774193548407,0.8759124087591241,0.3882322038350408,113,13,4
qwen3-32b,138,134,0.8059701492537313,0.5937973650460534,0.835820895522388,0.6278717495581922,79,12,10
qwen3-32b-reasoning,138,136,0.8455882352941176,0.6855318211847611,0.8676470588235294,0.7074569789674953,80,10,8
qwen3-8b,138,136,0.8529411764705882,0.6870685687988956,0.9044117647058824,0.7786680020030046,87,11,2
qwen3-8b-reasoning,138,136,0.8161764705882353,0.6117835122174012,0.8897058823529411,0.743718592964824,86,10,5
