model,n_both_non_compliance,layer1_exact_agreement,layer1_kappa
claude-opus-4.6,112,0.9553571428571429,0.7063450445726274
claude-opus-4.6-reasoning,105,0.9904761904761905,0.9057450628366253
claude-sonnet-4.6,106,0.9528301886792453,0.7424684159378037
gemini-2.5-pro,77,0.8701298701298701,0.6378174976481654
gpt-4o,100,0.93,0.630021141649049
gpt-5,112,0.7946428571428571,0.33948717948717916
grok-4.20,101,0.8910891089108911,0.4408656265727229
llama-3.1-70b,99,0.9494949494949495,0.814537279880105
llama-3.1-8b,113,0.8672566371681416,0.34225844004656586
qwen3-32b,79,0.8227848101265823,0.22980501392757685
qwen3-32b-reasoning,80,0.9125,0.4256410256410255
qwen3-8b,87,0.9310344827586207,0.6158940397350993
qwen3-8b-reasoning,86,0.9534883720930233,0.729984301412873
