model,feature,n_both_non_compliance,agreement,kappa,may_rate,august_rate
claude-opus-4.6,explicit_nc,112,0.9285714285714286,0.0,1.0,0.9285714285714286
claude-opus-4.6,implicit_nc,112,0.9285714285714286,0.0,0.0,0.07142857142857142
claude-opus-4.6,apology,112,0.9910714285714286,0.0,0.0,0.008928571428571428
claude-opus-4.6,hedge,112,1.0,,0.0,0.0
claude-opus-4.6,explanatory_preface,112,0.9642857142857143,-0.01357466063348104,0.008928571428571428,0.026785714285714284
claude-opus-4.6,positive_alignment,112,0.9196428571428571,0.27167630057803427,0.03571428571428571,0.08035714285714286
claude-opus-4.6,solidarity,112,0.875,0.6287878787878788,0.21428571428571427,0.21428571428571427
claude-opus-4.6,negative_stance,112,0.9196428571428571,0.6814159292035397,0.875,0.8303571428571429
claude-opus-4.6,executed_alternative,112,0.8125,0.625,0.5,0.5803571428571429
claude-opus-4.6,alternative_offer,112,0.8125,0.5701754385964912,0.7232142857142857,0.6428571428571429
claude-opus-4.6,normative_suggestion,112,0.7946428571428571,0.5853187379265936,0.36607142857142855,0.48214285714285715
claude-opus-4.6,statement_of_principle,112,1.0,,0.0,0.0
claude-opus-4.6,role_based,112,1.0,,0.0,0.0
claude-opus-4.6-reasoning,explicit_nc,105,0.9619047619047619,0.0,1.0,0.9619047619047619
claude-opus-4.6-reasoning,implicit_nc,105,0.9619047619047619,0.0,0.0,0.0380952380952381
claude-opus-4.6-reasoning,apology,105,1.0,,0.0,0.0
claude-opus-4.6-reasoning,hedge,105,1.0,,0.0,0.0
claude-opus-4.6-reasoning,explanatory_preface,105,0.9904761904761905,0.0,0.0,0.009523809523809525
claude-opus-4.6-reasoning,positive_alignment,105,0.9619047619047619,0.31372549019607887,0.02857142857142857,0.02857142857142857
claude-opus-4.6-reasoning,solidarity,105,0.8666666666666667,0.6428571428571429,0.26666666666666666,0.22857142857142856
claude-opus-4.6-reasoning,negative_stance,105,0.9523809523809523,0.7572815533980579,0.9142857142857143,0.8666666666666667
claude-opus-4.6-reasoning,executed_alternative,105,0.8857142857142857,0.7709923664122137,0.5142857142857142,0.5333333333333333
claude-opus-4.6-reasoning,alternative_offer,105,0.8761904761904762,0.7153284671532847,0.6952380952380952,0.6666666666666666
claude-opus-4.6-reasoning,normative_suggestion,105,0.7428571428571429,0.47470817120622566,0.44761904761904764,0.4
claude-opus-4.6-reasoning,statement_of_principle,105,0.9904761904761905,0.0,0.009523809523809525,0.0
claude-opus-4.6-reasoning,role_based,105,0.9904761904761905,0.0,0.009523809523809525,0.0
claude-sonnet-4.6,explicit_nc,106,0.9622641509433962,0.6466666666666668,0.9433962264150944,0.9433962264150944
claude-sonnet-4.6,implicit_nc,106,0.9622641509433962,0.6466666666666668,0.05660377358490566,0.05660377358490566
claude-sonnet-4.6,apology,106,1.0,,0.0,0.0
claude-sonnet-4.6,hedge,106,1.0,,0.0,0.0
claude-sonnet-4.6,explanatory_preface,106,0.9433962264150944,0.4708818635607325,0.0660377358490566,0.04716981132075472
claude-sonnet-4.6,positive_alignment,106,0.9622641509433962,0.4854368932038836,0.05660377358490566,0.018867924528301886
claude-sonnet-4.6,solidarity,106,0.9905660377358491,0.9657843770174306,0.16037735849056603,0.16981132075471697
claude-sonnet-4.6,negative_stance,106,0.9339622641509434,0.7488151658767773,0.839622641509434,0.8490566037735849
claude-sonnet-4.6,executed_alternative,106,0.8584905660377359,0.7112241191427534,0.42452830188679247,0.4339622641509434
claude-sonnet-4.6,alternative_offer,106,0.8490566037735849,0.6888073394495413,0.5566037735849056,0.6320754716981132
claude-sonnet-4.6,normative_suggestion,106,0.8207547169811321,0.6080186843129625,0.3490566037735849,0.3584905660377358
claude-sonnet-4.6,statement_of_principle,106,0.9811320754716981,0.0,0.0,0.018867924528301886
claude-sonnet-4.6,role_based,106,1.0,,0.0,0.0
gemini-2.5-pro,explicit_nc,77,0.974025974025974,0.48666666666666564,0.974025974025974,0.974025974025974
gemini-2.5-pro,implicit_nc,77,0.974025974025974,0.48666666666666564,0.025974025974025976,0.025974025974025976
gemini-2.5-pro,apology,77,0.987012987012987,0.8504854368932038,0.05194805194805195,0.03896103896103896
gemini-2.5-pro,hedge,77,1.0,,0.0,0.0
gemini-2.5-pro,explanatory_preface,77,0.922077922077922,0.6835616438356164,0.16883116883116883,0.11688311688311688
gemini-2.5-pro,positive_alignment,77,0.974025974025974,0.8431771894093687,0.1038961038961039,0.07792207792207792
gemini-2.5-pro,solidarity,77,0.948051948051948,0.8949522510231923,0.4155844155844156,0.4675324675324675
gemini-2.5-pro,negative_stance,77,0.974025974025974,0.7861111111111111,0.935064935064935,0.935064935064935
gemini-2.5-pro,executed_alternative,77,0.961038961038961,0.8725868725868725,0.8181818181818182,0.8051948051948052
gemini-2.5-pro,alternative_offer,77,0.8961038961038961,0.5757575757575757,0.14285714285714285,0.14285714285714285
gemini-2.5-pro,normative_suggestion,77,0.7792207792207793,0.5536992840095466,0.5584415584415584,0.5454545454545454
gemini-2.5-pro,statement_of_principle,77,0.8441558441558441,0.16455696202531608,0.11688311688311688,0.09090909090909091
gemini-2.5-pro,role_based,77,0.7532467532467533,0.4534927157265597,0.6493506493506493,0.6623376623376623
gpt-4o,explicit_nc,100,0.96,0.8237885462555066,0.89,0.85
gpt-4o,implicit_nc,100,0.96,0.8237885462555066,0.11,0.15
gpt-4o,apology,100,0.97,0.7844827586206896,0.94,0.91
gpt-4o,hedge,100,1.0,,0.0,0.0
gpt-4o,explanatory_preface,100,0.98,-0.010101010101008969,0.01,0.01
gpt-4o,positive_alignment,100,1.0,,0.0,0.0
gpt-4o,solidarity,100,0.99,0.941860465116279,0.1,0.09
gpt-4o,negative_stance,100,0.94,0.21874999999999908,0.04,0.04
gpt-4o,executed_alternative,100,0.95,0.6811224489795914,0.06,0.11
gpt-4o,alternative_offer,100,0.98,0.8226950354609928,0.06,0.06
gpt-4o,normative_suggestion,100,0.94,0.36974789915966444,0.04,0.06
gpt-4o,statement_of_principle,100,0.97,0.3902439024390255,0.01,0.04
gpt-4o,role_based,100,1.0,,0.0,0.0
gpt-5,explicit_nc,112,0.9910714285714286,0.6626506024096409,0.9910714285714286,0.9821428571428571
gpt-5,implicit_nc,112,0.9910714285714286,0.6626506024096409,0.008928571428571428,0.017857142857142856
gpt-5,apology,112,0.7410714285714286,0.4301754385964914,0.38392857142857145,0.30357142857142855
gpt-5,hedge,112,1.0,,0.0,0.0
gpt-5,explanatory_preface,112,0.9910714285714286,0.0,0.0,0.008928571428571428
gpt-5,positive_alignment,112,0.9910714285714286,0.6626506024096409,0.008928571428571428,0.017857142857142856
gpt-5,solidarity,112,0.9107142857142857,0.6982758620689654,0.14285714285714285,0.21428571428571427
gpt-5,negative_stance,112,0.7767857142857143,0.48830409356725146,0.6428571428571429,0.7232142857142857
gpt-5,executed_alternative,112,0.7767857142857143,0.41225860621326643,0.7321428571428571,0.7589285714285714
gpt-5,alternative_offer,112,0.6160714285714286,0.2047556142668429,0.5357142857142857,0.7410714285714286
gpt-5,normative_suggestion,112,0.7589285714285714,0.5206087507926442,0.4732142857142857,0.5535714285714286
gpt-5,statement_of_principle,112,0.9910714285714286,0.0,0.008928571428571428,0.0
gpt-5,role_based,112,1.0,,0.0,0.0
grok-4.20,explicit_nc,101,0.9801980198019802,0.7900207900207898,0.9405940594059405,0.9603960396039604
grok-4.20,implicit_nc,101,0.9801980198019802,0.7900207900207898,0.0594059405940594,0.039603960396039604
grok-4.20,apology,101,0.9306930693069307,0.6839517210549847,0.15841584158415842,0.0891089108910891
grok-4.20,hedge,101,1.0,,0.0,0.0
grok-4.20,explanatory_preface,101,0.9900990099009901,0.0,0.0,0.009900990099009901
grok-4.20,positive_alignment,101,1.0,,0.0,0.0
grok-4.20,solidarity,101,0.9405940594059405,0.7651162790697673,0.1485148514851485,0.1485148514851485
grok-4.20,negative_stance,101,0.9207920792079208,0.5637149028077757,0.8613861386138614,0.9405940594059405
grok-4.20,executed_alternative,101,0.8217821782178217,0.6375598086124401,0.43564356435643564,0.43564356435643564
grok-4.20,alternative_offer,101,0.7326732673267327,0.4312825860271116,0.5643564356435643,0.7326732673267327
grok-4.20,normative_suggestion,101,0.6831683168316832,0.36800938599921795,0.45544554455445546,0.5148514851485149
grok-4.20,statement_of_principle,101,0.9702970297029703,-0.013377926421406887,0.009900990099009901,0.019801980198019802
grok-4.20,role_based,101,0.9801980198019802,0.7403598971722367,0.0297029702970297,0.04950495049504951
llama-3.1-70b,explicit_nc,99,0.9696969696969697,0.7113702623906706,0.9494949494949495,0.9393939393939394
llama-3.1-70b,implicit_nc,99,0.9696969696969697,0.7113702623906706,0.050505050505050504,0.06060606060606061
llama-3.1-70b,apology,99,1.0,,0.0,0.0
llama-3.1-70b,hedge,99,1.0,,0.0,0.0
llama-3.1-70b,explanatory_preface,99,0.9696969696969697,0.39014373716632467,0.04040404040404041,0.010101010101010102
llama-3.1-70b,positive_alignment,99,0.9696969696969697,0.7531172069825437,0.06060606060606061,0.0707070707070707
llama-3.1-70b,solidarity,99,1.0,1.0,0.04040404040404041,0.04040404040404041
llama-3.1-70b,negative_stance,99,0.9595959595959596,0.6925465838509314,0.0707070707070707,0.0707070707070707
llama-3.1-70b,executed_alternative,99,0.9494949494949495,0.518950437317784,0.050505050505050504,0.06060606060606061
llama-3.1-70b,alternative_offer,99,0.9292929292929293,0.7989556135770235,0.21212121212121213,0.24242424242424243
llama-3.1-70b,normative_suggestion,99,0.98989898989899,0.7950310559006224,0.020202020202020204,0.030303030303030304
llama-3.1-70b,statement_of_principle,99,1.0,,0.0,0.0
llama-3.1-70b,role_based,99,1.0,,0.0,0.0
llama-3.1-8b,explicit_nc,113,0.9911504424778761,0.6626865671641804,0.9823008849557522,0.9911504424778761
llama-3.1-8b,implicit_nc,113,0.9911504424778761,0.6626865671641804,0.017699115044247787,0.008849557522123894
llama-3.1-8b,apology,113,1.0,,0.0,0.0
llama-3.1-8b,hedge,113,1.0,,0.0,0.0
llama-3.1-8b,explanatory_preface,113,1.0,,0.0,0.0
llama-3.1-8b,positive_alignment,113,1.0,,0.0,0.0
llama-3.1-8b,solidarity,113,0.9646017699115044,0.7585470085470084,0.07964601769911504,0.07964601769911504
llama-3.1-8b,negative_stance,113,0.8849557522123894,0.10590383444917867,0.017699115044247787,0.11504424778761062
llama-3.1-8b,executed_alternative,113,0.9646017699115044,0.7807953443258968,0.09734513274336283,0.07964601769911504
llama-3.1-8b,alternative_offer,113,0.7345132743362832,0.3371138052405164,0.1592920353982301,0.35398230088495575
llama-3.1-8b,normative_suggestion,113,1.0,,0.0,0.0
llama-3.1-8b,statement_of_principle,113,1.0,,0.0,0.0
llama-3.1-8b,role_based,113,1.0,,0.0,0.0
qwen3-32b,explicit_nc,79,0.7974683544303798,0.49641434262948214,0.7341772151898734,0.7088607594936709
qwen3-32b,implicit_nc,79,0.7974683544303798,0.49641434262948214,0.26582278481012656,0.2911392405063291
qwen3-32b,apology,79,0.7974683544303798,0.5839368005266624,0.5949367088607594,0.569620253164557
qwen3-32b,hedge,79,1.0,,0.0,0.0
qwen3-32b,explanatory_preface,79,0.9367088607594937,-0.02067183462532149,0.05063291139240506,0.012658227848101266
qwen3-32b,positive_alignment,79,0.9746835443037974,0.0,0.0,0.02531645569620253
qwen3-32b,solidarity,79,0.8860759493670886,0.7138832997987925,0.3037974683544304,0.24050632911392406
