feature,claude-opus-4.6,claude-opus-4.6-reasoning,claude-sonnet-4.6,gemini-2.5-pro,gpt-4o,gpt-5,grok-4.20,llama-3.1-70b,llama-3.1-8b,qwen3-32b,qwen3-32b-reasoning,qwen3-8b,qwen3-8b-reasoning
explicit_nc,0.9292035398230089,0.9619047619047619,0.9259259259259259,0.9753086419753086,0.85,0.9824561403508771,0.9629629629629629,0.9345794392523364,0.9915254237288136,0.7065217391304348,0.7191011235955056,0.6,0.5376344086021505
implicit_nc,0.07079646017699115,0.0380952380952381,0.07407407407407407,0.024691358024691357,0.15,0.017543859649122806,0.037037037037037035,0.06542056074766354,0.00847457627118644,0.29347826086956524,0.2808988764044944,0.4,0.46236559139784944
apology,0.017699115044247787,0.0,0.0,0.037037037037037035,0.91,0.30701754385964913,0.08333333333333333,0.0,0.0,0.5543478260869565,0.5842696629213483,0.14444444444444443,0.13978494623655913
hedge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explanatory_preface,0.02654867256637168,0.009523809523809525,0.046296296296296294,0.1111111111111111,0.01,0.008771929824561403,0.009259259259259259,0.018691588785046728,0.0,0.021739130434782608,0.02247191011235955,0.1,0.0967741935483871
positive_alignment,0.07964601769911504,0.02857142857142857,0.027777777777777776,0.08641975308641975,0.0,0.017543859649122806,0.0,0.06542056074766354,0.0,0.021739130434782608,0.011235955056179775,0.011111111111111112,0.021505376344086023
solidarity,0.21238938053097345,0.22857142857142856,0.17592592592592593,0.4444444444444444,0.09,0.21052631578947367,0.1574074074074074,0.037383177570093455,0.07627118644067797,0.20652173913043478,0.2247191011235955,0.24444444444444444,0.25806451612903225
negative_stance,0.831858407079646,0.8666666666666667,0.8518518518518519,0.9382716049382716,0.04,0.7192982456140351,0.9351851851851852,0.08411214953271028,0.11864406779661017,0.8695652173913043,0.8314606741573034,0.8777777777777778,0.8387096774193549
executed_alternative,0.5752212389380531,0.5333333333333333,0.4444444444444444,0.7901234567901234,0.11,0.7631578947368421,0.42592592592592593,0.06542056074766354,0.07627118644067797,0.6195652173913043,0.6966292134831461,0.7,0.7311827956989247
alternative_offer,0.6460176991150443,0.6666666666666666,0.6296296296296297,0.14814814814814814,0.06,0.7456140350877193,0.7407407407407407,0.2336448598130841,0.3559322033898305,0.5543478260869565,0.4606741573033708,0.3333333333333333,0.3333333333333333
normative_suggestion,0.4778761061946903,0.4,0.37037037037037035,0.5308641975308642,0.06,0.543859649122807,0.5,0.028037383177570093,0.0,0.6956521739130435,0.5730337078651685,0.7111111111111111,0.7096774193548387
statement_of_principle,0.0,0.0,0.018518518518518517,0.08641975308641975,0.04,0.0,0.018518518518518517,0.0,0.0,0.21739130434782608,0.24719101123595505,0.2777777777777778,0.25806451612903225
role_based,0.0,0.0,0.0,0.6790123456790124,0.0,0.0,0.05555555555555555,0.0,0.0,0.03260869565217391,0.02247191011235955,0.03333333333333333,0.021505376344086023
