feature,claude-opus-4.6,claude-opus-4.6-reasoning,claude-sonnet-4.6,gemini-2.5-pro,gpt-4o,gpt-5,grok-4.20,llama-3.1-70b,llama-3.1-8b,qwen3-32b,qwen3-32b-reasoning,qwen3-8b,qwen3-8b-reasoning
explicit_nc,1.0,1.0,0.944954128440367,0.9411764705882353,0.8761904761904762,0.9833333333333333,0.9339622641509434,0.9223300970873787,0.9761904761904762,0.7282608695652174,0.6888888888888889,0.6262626262626263,0.6041666666666666
implicit_nc,0.0,0.0,0.05504587155963303,0.058823529411764705,0.12380952380952381,0.016666666666666666,0.0660377358490566,0.07766990291262135,0.023809523809523808,0.2717391304347826,0.3111111111111111,0.37373737373737376,0.3958333333333333
apology,0.0,0.0,0.0,0.047058823529411764,0.9238095238095239,0.39166666666666666,0.16981132075471697,0.0,0.0,0.5652173913043478,0.5777777777777777,0.1717171717171717,0.16666666666666666
hedge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explanatory_preface,0.00847457627118644,0.0,0.06422018348623854,0.15294117647058825,0.009523809523809525,0.0,0.0,0.04854368932038835,0.0,0.05434782608695652,0.011111111111111112,0.06060606060606061,0.041666666666666664
positive_alignment,0.03389830508474576,0.02608695652173913,0.05504587155963303,0.10588235294117647,0.0,0.008333333333333333,0.0,0.07766990291262135,0.0,0.010869565217391304,0.0,0.010101010101010102,0.010416666666666666
solidarity,0.2033898305084746,0.25217391304347825,0.1559633027522936,0.4,0.09523809523809523,0.14166666666666666,0.14150943396226415,0.038834951456310676,0.07936507936507936,0.2608695652173913,0.23333333333333334,0.20202020202020202,0.19791666666666666
negative_stance,0.8559322033898306,0.8869565217391304,0.8440366972477065,0.9176470588235294,0.05714285714285714,0.6166666666666667,0.8490566037735849,0.08737864077669903,0.015873015873015872,0.7608695652173914,0.8666666666666667,0.8585858585858586,0.875
executed_alternative,0.4830508474576271,0.5043478260869565,0.42201834862385323,0.8117647058823529,0.0761904761904762,0.725,0.42452830188679247,0.06796116504854369,0.10317460317460317,0.5760869565217391,0.7,0.7070707070707071,0.7291666666666666
alternative_offer,0.7372881355932204,0.7130434782608696,0.5596330275229358,0.12941176470588237,0.05714285714285714,0.5166666666666667,0.5754716981132075,0.21359223300970873,0.16666666666666666,0.5,0.45555555555555555,0.48484848484848486,0.4166666666666667
normative_suggestion,0.3559322033898305,0.4434782608695652,0.3394495412844037,0.5529411764705883,0.047619047619047616,0.45,0.44339622641509435,0.02912621359223301,0.0,0.5217391304347826,0.6777777777777778,0.6666666666666666,0.6770833333333334
statement_of_principle,0.0,0.008695652173913044,0.0,0.11764705882352941,0.009523809523809525,0.008333333333333333,0.009433962264150943,0.0,0.0,0.20652173913043478,0.25555555555555554,0.1414141414141414,0.15625
role_based,0.0,0.017391304347826087,0.0,0.6235294117647059,0.0,0.0,0.02830188679245283,0.0,0.0,0.06521739130434782,0.03333333333333333,0.04040404040404041,0.03125
