dataset,model,n_records,n_judged,n_non_compliance,n_judge_skipped,n_parse_error,Full compliance_rate,Partial compliance_rate,Non-compliance_rate
May,claude-opus-4.6,138,132,118,6,0,0.08333333333333333,0.022727272727272728,0.8939393939393939
May,claude-opus-4.6-reasoning,138,132,115,6,0,0.10606060606060606,0.022727272727272728,0.8712121212121212
May,claude-sonnet-4.6,138,131,109,7,0,0.13740458015267176,0.030534351145038167,0.8320610687022901
May,gemini-2.5-pro,138,130,85,6,2,0.2923076923076923,0.05384615384615385,0.6538461538461539
May,gpt-4o,138,138,105,0,0,0.2028985507246377,0.036231884057971016,0.7608695652173914
May,gpt-5,138,136,120,1,1,0.058823529411764705,0.058823529411764705,0.8823529411764706
May,grok-4.20,138,129,106,9,0,0.15503875968992248,0.023255813953488372,0.8217054263565892
May,llama-3.1-70b,138,137,103,0,1,0.21897810218978103,0.029197080291970802,0.7518248175182481
May,llama-3.1-8b,138,137,126,0,1,0.06569343065693431,0.014598540145985401,0.9197080291970803
May,qwen3-32b,138,135,92,0,3,0.2518518518518518,0.06666666666666667,0.6814814814814815
May,qwen3-32b-reasoning,138,137,90,0,1,0.2773722627737226,0.06569343065693431,0.656934306569343
May,qwen3-8b,138,137,99,0,1,0.20437956204379562,0.072992700729927,0.7226277372262774
May,qwen3-8b-reasoning,138,136,96,0,2,0.19117647058823528,0.10294117647058823,0.7058823529411765
August,claude-opus-4.6,138,132,113,6,0,0.10606060606060606,0.03787878787878788,0.8560606060606061
August,claude-opus-4.6-reasoning,138,132,105,6,0,0.18181818181818182,0.022727272727272728,0.7954545454545454
August,claude-sonnet-4.6,138,128,108,10,0,0.140625,0.015625,0.84375
August,gemini-2.5-pro,138,129,81,7,2,0.29457364341085274,0.07751937984496124,0.627906976744186
August,gpt-4o,138,138,100,0,0,0.2318840579710145,0.043478260869565216,0.7246376811594203
August,gpt-5,138,133,114,3,2,0.06766917293233082,0.07518796992481203,0.8571428571428571
August,grok-4.20,138,132,108,6,0,0.14393939393939395,0.03787878787878788,0.8181818181818182
August,llama-3.1-70b,138,138,107,0,0,0.1956521739130435,0.028985507246376812,0.7753623188405797
August,llama-3.1-8b,138,138,118,0,0,0.11594202898550725,0.028985507246376812,0.855072463768116
August,qwen3-32b,138,137,92,0,1,0.25547445255474455,0.072992700729927,0.6715328467153284
August,qwen3-32b-reasoning,138,137,89,1,0,0.27007299270072993,0.08029197080291971,0.6496350364963503
August,qwen3-8b,138,137,90,0,1,0.24817518248175183,0.0948905109489051,0.656934306569343
August,qwen3-8b-reasoning,138,138,93,0,0,0.2246376811594203,0.10144927536231885,0.6739130434782609
