model,layer,statistic,rate_200,rate_262,delta_pp,n_nc_200,n_nc_262
Claude Opus 4.6 + reasoning,layer0,Full compliance,0.1082,0.123,1.48,170,218
Claude Opus 4.6 + reasoning,layer0,Partial compliance,0.0155,0.0119,-0.36,170,218
Claude Opus 4.6 + reasoning,layer0,Non-compliance,0.8763,0.8651,-1.12,170,218
Claude Opus 4.6 + reasoning,layer1,Bare,0.0176,0.0183,0.07,170,218
Claude Opus 4.6 + reasoning,layer1,Capacity-based,0.0176,0.0367,1.91,170,218
Claude Opus 4.6 + reasoning,layer1,Policy-based,0.0529,0.0459,-0.71,170,218
Claude Opus 4.6 + reasoning,layer1,Ethics-based,0.9118,0.8991,-1.27,170,218
Claude Opus 4.6 + reasoning,layer2,explicit_nc,1.0,0.9908,-0.92,170,218
Claude Opus 4.6 + reasoning,layer2,implicit_nc,0.0,0.0092,0.92,170,218
Claude Opus 4.6 + reasoning,layer2,apology,0.0,0.0,0.0,170,218
Claude Opus 4.6 + reasoning,layer2,hedge,0.0,0.0,0.0,170,218
Claude Opus 4.6 + reasoning,layer2,explanatory_preface,0.0,0.0046,0.46,170,218
Claude Opus 4.6 + reasoning,layer2,positive_alignment,0.0176,0.0413,2.36,170,218
Claude Opus 4.6 + reasoning,layer2,solidarity,0.2471,0.2569,0.98,170,218
Claude Opus 4.6 + reasoning,layer2,negative_stance,0.8353,0.8073,-2.8,170,218
Claude Opus 4.6 + reasoning,layer2,executed_alternative,0.4471,0.4679,2.08,170,218
Claude Opus 4.6 + reasoning,layer2,alternative_offer,0.6882,0.6743,-1.39,170,218
Claude Opus 4.6 + reasoning,layer2,normative_suggestion,0.3353,0.3486,1.33,170,218
Claude Opus 4.6 + reasoning,layer2,statement_of_principle,0.0118,0.0092,-0.26,170,218
Claude Opus 4.6 + reasoning,layer2,role_based,0.0118,0.0321,2.03,170,218
Claude Opus 4.6,layer0,Full compliance,0.1031,0.1151,1.2,171,218
Claude Opus 4.6,layer0,Partial compliance,0.0155,0.0198,0.44,171,218
Claude Opus 4.6,layer0,Non-compliance,0.8814,0.8651,-1.64,171,218
Claude Opus 4.6,layer1,Bare,0.0409,0.0505,0.95,171,218
Claude Opus 4.6,layer1,Capacity-based,0.0058,0.0275,2.17,171,218
Claude Opus 4.6,layer1,Policy-based,0.0351,0.0321,-0.3,171,218
Claude Opus 4.6,layer1,Ethics-based,0.9181,0.8899,-2.82,171,218
Claude Opus 4.6,layer2,explicit_nc,0.9942,0.9862,-0.79,171,218
Claude Opus 4.6,layer2,implicit_nc,0.0058,0.0138,0.79,171,218
Claude Opus 4.6,layer2,apology,0.0117,0.0092,-0.25,171,218
Claude Opus 4.6,layer2,hedge,0.0,0.0,0.0,171,218
Claude Opus 4.6,layer2,explanatory_preface,0.0058,0.0138,0.79,171,218
Claude Opus 4.6,layer2,positive_alignment,0.0292,0.0596,3.04,171,218
Claude Opus 4.6,layer2,solidarity,0.2105,0.2294,1.88,171,218
Claude Opus 4.6,layer2,negative_stance,0.8246,0.7982,-2.64,171,218
Claude Opus 4.6,layer2,executed_alternative,0.4444,0.4587,1.43,171,218
Claude Opus 4.6,layer2,alternative_offer,0.7135,0.7202,0.67,171,218
Claude Opus 4.6,layer2,normative_suggestion,0.2865,0.3211,3.46,171,218
Claude Opus 4.6,layer2,statement_of_principle,0.0058,0.0046,-0.13,171,218
Claude Opus 4.6,layer2,role_based,0.0058,0.0183,1.25,171,218
Claude Sonnet 4.6,layer0,Full compliance,0.1503,0.1594,0.91,159,205
Claude Sonnet 4.6,layer0,Partial compliance,0.0259,0.0239,-0.2,159,205
Claude Sonnet 4.6,layer0,Non-compliance,0.8238,0.8167,-0.71,159,205
Claude Sonnet 4.6,layer1,Bare,0.0755,0.078,0.26,159,205
Claude Sonnet 4.6,layer1,Capacity-based,0.0063,0.0293,2.3,159,205
Claude Sonnet 4.6,layer1,Policy-based,0.0252,0.0244,-0.08,159,205
Claude Sonnet 4.6,layer1,Ethics-based,0.8931,0.8683,-2.48,159,205
Claude Sonnet 4.6,layer2,explicit_nc,0.9623,0.961,-0.13,159,205
Claude Sonnet 4.6,layer2,implicit_nc,0.0377,0.039,0.13,159,205
Claude Sonnet 4.6,layer2,apology,0.0,0.0,0.0,159,205
Claude Sonnet 4.6,layer2,hedge,0.0,0.0,0.0,159,205
Claude Sonnet 4.6,layer2,explanatory_preface,0.0692,0.0634,-0.58,159,205
Claude Sonnet 4.6,layer2,positive_alignment,0.0503,0.0634,1.31,159,205
Claude Sonnet 4.6,layer2,solidarity,0.1447,0.1561,1.14,159,205
Claude Sonnet 4.6,layer2,negative_stance,0.7799,0.7659,-1.4,159,205
Claude Sonnet 4.6,layer2,executed_alternative,0.3459,0.3561,1.02,159,205
Claude Sonnet 4.6,layer2,alternative_offer,0.5597,0.5561,-0.37,159,205
Claude Sonnet 4.6,layer2,normative_suggestion,0.2453,0.2537,0.84,159,205
Claude Sonnet 4.6,layer2,statement_of_principle,0.0063,0.0049,-0.14,159,205
Claude Sonnet 4.6,layer2,role_based,0.0126,0.0195,0.69,159,205
Gemini 2.5 Pro,layer0,Full compliance,0.3464,0.3375,-0.89,110,150
Gemini 2.5 Pro,layer0,Partial compliance,0.0391,0.0375,-0.16,110,150
Gemini 2.5 Pro,layer0,Non-compliance,0.6145,0.625,1.05,110,150
Gemini 2.5 Pro,layer1,Bare,0.0455,0.0533,0.79,110,150
Gemini 2.5 Pro,layer1,Capacity-based,0.0,0.0333,3.33,110,150
Gemini 2.5 Pro,layer1,Policy-based,0.2091,0.2267,1.76,110,150
Gemini 2.5 Pro,layer1,Ethics-based,0.7455,0.6867,-5.88,110,150
Gemini 2.5 Pro,layer2,explicit_nc,0.9545,0.9467,-0.79,110,150
Gemini 2.5 Pro,layer2,implicit_nc,0.0455,0.0533,0.79,110,150
Gemini 2.5 Pro,layer2,apology,0.0364,0.04,0.36,110,150
Gemini 2.5 Pro,layer2,hedge,0.0,0.0,0.0,110,150
Gemini 2.5 Pro,layer2,explanatory_preface,0.1273,0.1267,-0.06,110,150
Gemini 2.5 Pro,layer2,positive_alignment,0.0818,0.1067,2.48,110,150
Gemini 2.5 Pro,layer2,solidarity,0.3545,0.3867,3.21,110,150
Gemini 2.5 Pro,layer2,negative_stance,0.9091,0.88,-2.91,110,150
Gemini 2.5 Pro,layer2,executed_alternative,0.6727,0.6933,2.06,110,150
Gemini 2.5 Pro,layer2,alternative_offer,0.1273,0.14,1.27,110,150
Gemini 2.5 Pro,layer2,normative_suggestion,0.4364,0.46,2.36,110,150
Gemini 2.5 Pro,layer2,statement_of_principle,0.1182,0.0867,-3.15,110,150
Gemini 2.5 Pro,layer2,role_based,0.6818,0.6667,-1.52,110,150
GPT-4o,layer0,Full compliance,0.18,0.187,0.7,157,202
GPT-4o,layer0,Partial compliance,0.035,0.042,0.7,157,202
GPT-4o,layer0,Non-compliance,0.785,0.771,-1.4,157,202
GPT-4o,layer1,Bare,0.9236,0.9059,-1.76,157,202
GPT-4o,layer1,Capacity-based,0.0,0.0248,2.48,157,202
GPT-4o,layer1,Policy-based,0.0,0.0,0.0,157,202
GPT-4o,layer1,Ethics-based,0.0764,0.0693,-0.71,157,202
GPT-4o,layer2,explicit_nc,0.8981,0.8713,-2.68,157,202
GPT-4o,layer2,implicit_nc,0.1019,0.1287,2.68,157,202
GPT-4o,layer2,apology,0.9363,0.9158,-2.05,157,202
GPT-4o,layer2,hedge,0.0,0.0,0.0,157,202
GPT-4o,layer2,explanatory_preface,0.0064,0.0099,0.35,157,202
GPT-4o,layer2,positive_alignment,0.0,0.0,0.0,157,202
GPT-4o,layer2,solidarity,0.0701,0.0891,1.9,157,202
GPT-4o,layer2,negative_stance,0.0446,0.0396,-0.5,157,202
GPT-4o,layer2,executed_alternative,0.0701,0.0941,2.4,157,202
GPT-4o,layer2,alternative_offer,0.0382,0.0495,1.13,157,202
GPT-4o,layer2,normative_suggestion,0.0446,0.0347,-0.99,157,202
GPT-4o,layer2,statement_of_principle,0.0064,0.005,-0.14,157,202
GPT-4o,layer2,role_based,0.0,0.0149,1.49,157,202
GPT-5,layer0,Full compliance,0.0707,0.0736,0.29,176,222
GPT-5,layer0,Partial compliance,0.0404,0.0659,2.55,176,222
GPT-5,layer0,Non-compliance,0.8889,0.8605,-2.84,176,222
GPT-5,layer1,Bare,0.2273,0.1982,-2.91,176,222
GPT-5,layer1,Capacity-based,0.0057,0.018,1.23,176,222
GPT-5,layer1,Policy-based,0.0341,0.0315,-0.26,176,222
GPT-5,layer1,Ethics-based,0.733,0.7523,1.93,176,222
GPT-5,layer2,explicit_nc,0.9773,0.9685,-0.88,176,222
GPT-5,layer2,implicit_nc,0.0227,0.0315,0.88,176,222
GPT-5,layer2,apology,0.3977,0.4009,0.32,176,222
GPT-5,layer2,hedge,0.0,0.0045,0.45,176,222
GPT-5,layer2,explanatory_preface,0.0,0.0045,0.45,176,222
GPT-5,layer2,positive_alignment,0.0114,0.0135,0.21,176,222
GPT-5,layer2,solidarity,0.142,0.1802,3.81,176,222
GPT-5,layer2,negative_stance,0.5511,0.5766,2.54,176,222
GPT-5,layer2,executed_alternative,0.6648,0.6712,0.64,176,222
GPT-5,layer2,alternative_offer,0.517,0.5541,3.7,176,222
GPT-5,layer2,normative_suggestion,0.4034,0.4414,3.8,176,222
GPT-5,layer2,statement_of_principle,0.017,0.0135,-0.35,176,222
GPT-5,layer2,role_based,0.0057,0.0045,-0.12,176,222
Grok 4.20,layer0,Full compliance,0.2044,0.2167,1.22,141,185
Grok 4.20,layer0,Partial compliance,0.0166,0.0125,-0.41,141,185
Grok 4.20,layer0,Non-compliance,0.779,0.7708,-0.82,141,185
Grok 4.20,layer1,Bare,0.0993,0.0811,-1.82,141,185
Grok 4.20,layer1,Capacity-based,0.0,0.027,2.7,141,185
Grok 4.20,layer1,Policy-based,0.1348,0.1135,-2.12,141,185
Grok 4.20,layer1,Ethics-based,0.766,0.7784,1.24,141,185
Grok 4.20,layer2,explicit_nc,0.9433,0.9459,0.27,141,185
Grok 4.20,layer2,implicit_nc,0.0567,0.0541,-0.27,141,185
Grok 4.20,layer2,apology,0.2482,0.227,-2.12,141,185
Grok 4.20,layer2,hedge,0.0,0.0,0.0,141,185
Grok 4.20,layer2,explanatory_preface,0.0,0.0054,0.54,141,185
Grok 4.20,layer2,positive_alignment,0.0,0.0,0.0,141,185
Grok 4.20,layer2,solidarity,0.1064,0.1351,2.88,141,185
Grok 4.20,layer2,negative_stance,0.7801,0.7946,1.45,141,185
Grok 4.20,layer2,executed_alternative,0.3333,0.3568,2.34,141,185
Grok 4.20,layer2,alternative_offer,0.5603,0.5838,2.35,141,185
Grok 4.20,layer2,normative_suggestion,0.3759,0.4216,4.57,141,185
Grok 4.20,layer2,statement_of_principle,0.0142,0.0108,-0.34,141,185
Grok 4.20,layer2,role_based,0.0284,0.0486,2.03,141,185
Llama 3.1 70B,layer0,Full compliance,0.201,0.2107,0.97,154,194
Llama 3.1 70B,layer0,Partial compliance,0.0251,0.046,2.09,154,194
Llama 3.1 70B,layer0,Non-compliance,0.7739,0.7433,-3.06,154,194
Llama 3.1 70B,layer1,Bare,0.6818,0.6907,0.89,154,194
Llama 3.1 70B,layer1,Capacity-based,0.013,0.0155,0.25,154,194
Llama 3.1 70B,layer1,Policy-based,0.1234,0.1082,-1.51,154,194
Llama 3.1 70B,layer1,Ethics-based,0.1818,0.1856,0.37,154,194
Llama 3.1 70B,layer2,explicit_nc,0.9286,0.9227,-0.59,154,194
Llama 3.1 70B,layer2,implicit_nc,0.0714,0.0773,0.59,154,194
Llama 3.1 70B,layer2,apology,0.0,0.0,0.0,154,194
Llama 3.1 70B,layer2,hedge,0.0,0.0,0.0,154,194
Llama 3.1 70B,layer2,explanatory_preface,0.0325,0.0258,-0.67,154,194
Llama 3.1 70B,layer2,positive_alignment,0.0519,0.0515,-0.04,154,194
Llama 3.1 70B,layer2,solidarity,0.039,0.0515,1.26,154,194
Llama 3.1 70B,layer2,negative_stance,0.1039,0.1134,0.95,154,194
Llama 3.1 70B,layer2,executed_alternative,0.0519,0.0773,2.54,154,194
Llama 3.1 70B,layer2,alternative_offer,0.3961,0.366,-3.01,154,194
Llama 3.1 70B,layer2,normative_suggestion,0.0195,0.0206,0.11,154,194
Llama 3.1 70B,layer2,statement_of_principle,0.0,0.0,0.0,154,194
Llama 3.1 70B,layer2,role_based,0.0,0.0,0.0,154,194
Llama 3.1 8B,layer0,Full compliance,0.0653,0.0843,1.9,183,233
Llama 3.1 8B,layer0,Partial compliance,0.0151,0.023,0.79,183,233
Llama 3.1 8B,layer0,Non-compliance,0.9196,0.8927,-2.69,183,233
Llama 3.1 8B,layer1,Bare,0.765,0.7854,2.04,183,233
Llama 3.1 8B,layer1,Capacity-based,0.0,0.0043,0.43,183,233
Llama 3.1 8B,layer1,Policy-based,0.0273,0.0258,-0.16,183,233
Llama 3.1 8B,layer1,Ethics-based,0.2077,0.1845,-2.31,183,233
Llama 3.1 8B,layer2,explicit_nc,0.9836,0.9785,-0.51,183,233
Llama 3.1 8B,layer2,implicit_nc,0.0164,0.0215,0.51,183,233
Llama 3.1 8B,layer2,apology,0.0,0.0,0.0,183,233
Llama 3.1 8B,layer2,hedge,0.0,0.0,0.0,183,233
Llama 3.1 8B,layer2,explanatory_preface,0.0,0.0,0.0,183,233
Llama 3.1 8B,layer2,positive_alignment,0.0,0.0,0.0,183,233
Llama 3.1 8B,layer2,solidarity,0.0546,0.0687,1.4,183,233
Llama 3.1 8B,layer2,negative_stance,0.1093,0.103,-0.63,183,233
Llama 3.1 8B,layer2,executed_alternative,0.071,0.0944,2.34,183,233
