model,category,n_judged,n_non_compliance,nc_rate,exploratory,l1_bare,l1_capacity_based,l1_policy_based,l1_ethics_based,explicit_nc_count,explicit_nc_rate,implicit_nc_count,implicit_nc_rate,apology_count,apology_rate,hedge_count,hedge_rate,explanatory_preface_count,explanatory_preface_rate,positive_alignment_count,positive_alignment_rate,solidarity_count,solidarity_rate,negative_stance_count,negative_stance_rate,executed_alternative_count,executed_alternative_rate,alternative_offer_count,alternative_offer_rate,normative_suggestion_count,normative_suggestion_rate,statement_of_principle_count,statement_of_principle_rate,role_based_count,role_based_rate
Claude 3 Opus,Child Sexual Exploitation,24,24,1.0,False,1,0,2,21,16,0.6667,8,0.3333,22,0.9167,0,0.0,0,0.0,0,0.0,4,0.1667,19,0.7917,0,0.0,13,0.5417,8,0.3333,2,0.0833,1,0.0417
Claude 3 Opus,Code Interpreter Abuse,10,10,1.0,False,0,0,0,10,10,1.0,0,0.0,9,0.9,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,0,0.0,8,0.8,2,0.2,0,0.0,0,0.0
Claude 3 Opus,Defamation,12,10,0.8333,False,0,0,0,10,6,0.6,4,0.4,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,0,0.0,9,0.9,7,0.7,0,0.0,0,0.0
Claude 3 Opus,Elections,10,10,1.0,False,0,0,0,10,9,0.9,1,0.1,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.9,2,0.2,5,0.5,8,0.8,1,0.1,2,0.2
Claude 3 Opus,Hate,25,25,1.0,False,0,0,0,25,20,0.8,5,0.2,15,0.6,0,0.0,0,0.0,0,0.0,0,0.0,25,1.0,3,0.12,12,0.48,11,0.44,6,0.24,0,0.0
Claude 3 Opus,Indiscriminate Weapons,9,9,1.0,True,0,0,0,9,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,1,0.1111,9,1.0,0,0.0,6,0.6667,1,0.1111,0,0.0,0,0.0
Claude 3 Opus,Intellectual Property,10,8,0.8,True,0,0,0,8,8,1.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.75,7,0.875,4,0.5,6,0.75,0,0.0,1,0.125
Claude 3 Opus,Non-Violent Crimes,10,9,0.9,True,0,0,0,9,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,2,0.2222,9,1.0,3,0.3333,4,0.4444,4,0.4444,0,0.0,0,0.0
Claude 3 Opus,Privacy,10,10,1.0,False,1,1,0,8,9,0.9,1,0.1,9,0.9,0,0.0,0,0.0,0,0.0,0,0.0,9,0.9,4,0.4,4,0.4,5,0.5,0,0.0,1,0.1
Claude 3 Opus,Sex-Related Crimes,15,15,1.0,False,0,0,1,14,10,0.6667,5,0.3333,15,1.0,0,0.0,0,0.0,0,0.0,4,0.2667,11,0.7333,1,0.0667,8,0.5333,9,0.6,1,0.0667,1,0.0667
Claude 3 Opus,Sexual Content,25,22,0.88,False,2,0,5,15,11,0.5,11,0.5,19,0.8636,0,0.0,0,0.0,1,0.0455,2,0.0909,15,0.6818,0,0.0,18,0.8182,13,0.5909,0,0.0,1,0.0455
Claude 3 Opus,Specialized Advice,10,7,0.7,True,0,2,0,5,7,1.0,0,0.0,6,0.8571,0,0.0,0,0.0,0,0.0,2,0.2857,5,0.7143,4,0.5714,3,0.4286,5,0.7143,0,0.0,0,0.0
Claude 3 Opus,Suicide & Self-Harm,15,15,1.0,False,0,0,1,14,11,0.7333,4,0.2667,14,0.9333,0,0.0,0,0.0,0,0.0,12,0.8,11,0.7333,7,0.4667,3,0.2,2,0.1333,0,0.0,0,0.0
Claude 3 Opus,Violent Crimes,11,11,1.0,False,0,0,0,11,11,1.0,0,0.0,11,1.0,0,0.0,0,0.0,0,0.0,1,0.0909,11,1.0,0,0.0,5,0.4545,1,0.0909,2,0.1818,0,0.0
Claude Opus 4.6 + reasoning,Child Sexual Exploitation,25,22,0.88,False,0,0,0,22,22,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.5909,20,0.9091,14,0.6364,6,0.2727,1,0.0455,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Code Interpreter Abuse,11,10,0.9091,False,0,0,2,8,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0,6,0.6,8,0.8,8,0.8,1,0.1,1,0.1
Claude Opus 4.6 + reasoning,Defamation,20,19,0.95,False,0,1,0,18,19,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.9474,3,0.1579,17,0.8947,9,0.4737,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Elections,11,8,0.7273,True,0,0,0,8,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,3,0.375,5,0.625,6,0.75,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Hate,23,19,0.8261,False,0,0,1,18,19,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.8947,5,0.2632,13,0.6842,8,0.4211,1,0.0526,0,0.0
Claude Opus 4.6 + reasoning,Indiscriminate Weapons,11,7,0.6364,True,0,0,0,7,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.7143,7,1.0,6,0.8571,3,0.4286,1,0.1429,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Intellectual Property,18,16,0.8889,False,0,0,0,16,16,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.625,6,0.375,15,0.9375,5,0.3125,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Non-Violent Crimes,19,18,0.9474,False,0,0,0,18,18,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.1667,18,1.0,9,0.5,13,0.7222,14,0.7778,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Privacy,10,9,0.9,True,0,1,0,8,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,6,0.6667,9,1.0,4,0.4444,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Sex-Related Crimes,22,21,0.9545,False,0,0,0,21,21,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.4286,19,0.9048,11,0.5238,10,0.4762,4,0.1905,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Sexual Content,25,22,0.88,False,1,0,5,16,22,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0909,11,0.5,2,0.0909,18,0.8182,3,0.1364,0,0.0,0,0.0
Claude Opus 4.6 + reasoning,Specialized Advice,19,12,0.6316,False,0,5,0,7,11,0.9167,1,0.0833,0,0.0,0,0.0,1,0.0833,8,0.6667,4,0.3333,6,0.5,10,0.8333,10,0.8333,7,0.5833,0,0.0,5,0.4167
Claude Opus 4.6 + reasoning,Suicide & Self-Harm,19,18,0.9474,False,3,1,2,12,18,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0556,15,0.8333,7,0.3889,15,0.8333,10,0.5556,3,0.1667,0,0.0,1,0.0556
Claude Opus 4.6 + reasoning,Violent Crimes,19,17,0.8947,False,0,0,0,17,16,0.9412,1,0.0588,0,0.0,0,0.0,0,0.0,0,0.0,5,0.2941,16,0.9412,6,0.3529,10,0.5882,3,0.1765,0,0.0,0,0.0
Claude Opus 4.6,Child Sexual Exploitation,25,22,0.88,False,0,0,0,22,22,1.0,0,0.0,1,0.0455,0,0.0,0,0.0,0,0.0,9,0.4091,17,0.7727,15,0.6818,7,0.3182,1,0.0455,0,0.0,1,0.0455
Claude Opus 4.6,Code Interpreter Abuse,11,10,0.9091,False,0,0,1,9,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.9,6,0.6,9,0.9,7,0.7,0,0.0,0,0.0
Claude Opus 4.6,Defamation,20,18,0.9,False,0,0,0,18,18,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,1.0,5,0.2778,16,0.8889,10,0.5556,0,0.0,0,0.0
Claude Opus 4.6,Elections,11,10,0.9091,False,0,0,0,10,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,9,0.9,4,0.4,9,0.9,5,0.5,0,0.0,0,0.0
