hypothesis,model_a,model_b,refusal_rate_a,refusal_rate_b,delta_b_minus_a,n_judged_a,n_judged_b
H1_size,Llama 3.1 8B,Llama 3.1 70B,0.915,0.765,-0.15000000000000002,200,200
H1_size,Qwen3-8B,Qwen3-32B,0.6700507614213198,0.6363636363636364,-0.033687125057683454,197,198
H2_reasoning,Qwen3-8B,Qwen3-8B + reasoning,0.6700507614213198,0.66,-0.010050761421319776,197,200
H2_reasoning,Qwen3-32B,Qwen3-32B + reasoning,0.6363636363636364,0.6180904522613065,-0.01827318410232981,198,199
H2_reasoning,Claude Opus 4.6,Claude Opus 4.6 + reasoning,0.8882978723404256,0.8776595744680851,-0.010638297872340496,188,188
H2_reasoning,GPT 5.3,GPT-5.3 + reasoning,0.86,0.885,0.025000000000000022,200,200
H3_closed_family,Claude Opus 4.6,GPT 5.3,0.8882978723404256,0.86,-0.02829787234042558,188,200
H3_closed_family,Claude Opus 4.6,Grok 4.20,0.8882978723404256,0.7734806629834254,-0.11481720935700013,188,181
H3_closed_family,Claude Opus 4.6,Gemini 2.5 Pro,0.8882978723404256,0.6243093922651933,-0.26398848007523223,188,181
H4_time,GPT-4o,GPT-5,0.785,0.8939393939393939,0.10893939393939389,200,198
H4_time,GPT-5,GPT 5.3,0.8939393939393939,0.86,-0.033939393939393936,198,200
H4_time,Claude Sonnet 3.7,Claude Sonnet 4.6,0.85,0.8229166666666666,-0.027083333333333348,200,192
